自治体名,公開年月,発行号タイトル,記事タイトル,カテゴリ,記事本文
神奈川県厚木市,2024.04.15,広報あつぎ 第1421号（2024年4月15日発行）,募集 緑のまつりで植物と触れ合う 緑に親しもう教室,イベント,"花と緑などの自然に気軽に触れ合いませんか。

■お手軽!コケ玉づくり
日時：5月11日
(1)10時?
(2)12時?
(3)14時?
(各回40分)
定員：各回10人
費用：500円

■押し花はがきづくり
日時：5月11日
(1)11時?
(2)14時?
(各回60分)
定員：各回20人
費用：100円

■寄せ植えギャザリング
日時：
・5月11日
(1)10時30分?
(2)14時?
(各回60分)
・12日　12時30分?13時30分
定員：
・11日…各回10人
・12日…15人
費用：3500円

■多肉植物の寄せ植え
日時：
・5月11日　12時30分?13時30分
・12日
(1)10時30分?
(2)14時?
(各回60分)
定員：
・11日…15人
・12日…各回10人
費用：2500円

●花セラピーの花生け
日時：5月12日　10時?14時30分
費用：500?2000円

※花材がなくなり次第終了。

いずれも場所は厚木中央公園。
申込み：
■は直接、電話またはファクス、Eメールに氏名、希望講座名を書き、4月15日?5月7日に公園緑地課へ。先着順。市HPから申し込み可。
【FAX】225-3027【メール】4800@city.atsugi.kanagawa.jp
●は不要。

問合せ：公園緑地課
【電話】225-2412"
神奈川県厚木市,2024.04.15,広報あつぎ 第1421号（2024年4月15日発行）,広報あつぎデジタル版,くらし,"■アプリ
※本紙の二次元コードをご参照ください。

■ウェブ
「マイ広報紙　あつぎ」で検索

■市HPでもPDF版を掲載"
神奈川県厚木市,2024.04.15,広報あつぎ 第1421号（2024年4月15日発行）,広報テレビ・ラジオ番組,くらし,"イベント情報や街の話題などを紹介

■ケーブルテレビ
▽AIC「あつぎ愛テレビ」
(1)12時?
(2)19時30分?
(3)22時45分?
(各15分)

■テレビ
▽tvk「猫のひたいほどワイド」
毎月第1・3月曜、13時ごろ(3分程度)

▽tvkデータ放送
テレビリモコンのdボタンを押して、厚木市の一押し情報をチェック

■ラジオ
▽FMヨコハマ「ラブリーデイ」(84.7MHz)
毎月第1・3火曜、9時35分ごろ(3分程度)

他にもエックスやインスタグラムなど、さまざまなソーシャルメディアで情報を発信中
詳しくは「厚木市　ソーシャルメディア」で検索"
神奈川県厚木市,2024.04.15,広報あつぎ 第1421号（2024年4月15日発行）,催し(1),イベント,"■神奈川工科大学厚木市子ども科学館の催し
□字幕付きプラネタリウム「見えない宇宙に挑む」
4月20日、13時30分?14時15分。日本語字幕とナレーション付きの番組。定員90人。200円(中学生以下50円)。
申込み：当日9時から観覧券を販売。

□アロマプラネタリウム・春「大人のための癒しの時間」
4月20日、18?19時。アロマと安らぎの音楽などを楽しむ。15歳以上90人(中学生は除く)。200円。
申込み：当日9時から観覧券を販売。

□プラネタリウム特別番組「銀河クルージング」
4月28日、13時30分?14時10分。双眼鏡で銀河や星団を楽しむ。定員90人。200円(中学生以下50円)。
申込み：当日9時から観覧券を販売。

□天体観望会
5月11日、18時30分?20時30分。天体望遠鏡で春の星座や月を観察。定員50人。無料。
申込み：4月20日(市外の方は21日)9時から電話で受け付け。

□ミニ工作教室「ヒョコヒョコ人形」
5月12日、(1)13時40分?(2)14時30分?(各回30分)。首を動かしながら進む人形を作る。定員24人(付き添いの方も要予約)。無料。
申込み：5月3日(市外の方は4日)9時から電話で受け付け。

□おもしろ実験「にぼしの解剖」
5月19日、(1)10時30分?(2)14時?(各回45分)。にぼしを開いて生き物の体の秘密を知る。小学生以上10人(付き添いの方も要予約)。無料。
申込み：5月11日(市外の方は12日)9時から電話で受け付け。

○土曜科学実験室「ドライアイスであそぼう」
5月25日、13時40分?15時40分。ドライアイスの性質を学ぶ。小学生以上24人(付き添いの方も要予約)。無料。
申込み：5月4日から講座予約システムへ。

□プラネタリウム特別投影「きらきらタイム」
水曜、11時?11時30分。満天の星の下、手遊び歌や童謡を楽しむ。定員90人。200円(中学生以下50円)。
申込み：当日9時から観覧券を販売。

□昼寝タリウム
木曜、12時15分?12時45分。満天の星の下、ゆったりと過ごす。定員90人。200円(中学生以下50円)。
申込み：当日9時から観覧券を販売。

いずれも会場、問い合わせは子ども科学館
【電話】221-4152。
先着順(○は抽選)。講座予約システム(インターネットで申し込み可)。

■厚木市民朝市
日曜、6?7時。文化会館駐車場。市内産の新鮮で安心・安全な農産物や加工食品などを販売。

問合せ：農業政策課
【電話】225-2801。

■七沢自然ふれあいセンターの催し
□大人のための外遊びクラブ・飯盒(ごう)クッキング・たたき染め
6月2日、10?15時。七沢自然ふれあいセンター。飯ごうでの野外炊事、自然物でたたき染め。市内在住在勤在学の18歳以上20人(高校生不可)。2000円(材料費、保険料)。
申込み：5月2日までに七沢自然ふれあいセンターへ。抽選。

□ななさわ森のようちえん・出張!森のたんけん隊
6月5日、14時?16時30分。厚木青少年広場周辺。川探検、自然遊びなど。市内在住の3?6歳の未就学児20人。1人500円(材料費、保険料)。
申込み：5月1?15日に講座予約システムへ。先着順。

□ななさわ田んぼクラブ
6月16日、8月11日、10月6日、12月15日。10時?15時30分(雨天延期)。七沢自然ふれあいセンター他。田植え、草取り、かかし作り、稲刈り体験、収穫祭など。市内在住の親子60人。1人3500円(材料費、保険料)、3歳未満180円(保険料のみ)。
申込み：5月16日までに七沢自然ふれあいセンターへ。抽選。

□ななさわ整備隊
5月以降の第2土曜(全11回)、10?15時。七沢自然ふれあいセンター。センターの手入れ、看板作りなど。市内在住在学在勤の18歳以上各回10人(高校生不可)。100円(保険料)。
申込み：各回1週間前までに七沢自然ふれあいセンターへ。先着順。

いずれも問い合わせは七沢自然ふれあいセンター
【電話】248-3500。
講座予約システム(インターネットで申し込み可)。

■相模川ローズガーデンフェスティバル
5月11日、10?16時。相模川ローズガーデン。ミニコンサートや模擬店など。

問合せ：県央経営者会
【電話】296-7010。"
神奈川県厚木市,2024.04.15,広報あつぎ 第1421号（2024年4月15日発行）,催し(2),イベント,"■厚木ギターアンサンブル第13回定期演奏会
5月6日、13?16時。厚木シティプラザ。クラシックギターの演奏会。定員10人。
申込み：4月22日から直接、文化魅力創造課へ。
【電話】225-2508
先着順。

問合せ：厚木ギターアンサンブル事務局・冨田
【電話】221-4015。

■インクルーシブイベント　ハートフルスポーツフェスタ
5月6日、10?12時(雨天中止)。AtsugiCancha(アツギカンチャ)グラウンド。ブラインドサッカーなどのスポーツで障がいへの関心や理解を深める。市内在住の子どもと保護者(未就園児は保護者同伴)。無料。
申込み：不要。

問合せ：放課後等デイサービスAthleticClub(アスレチッククラブ)ハートフル
【電話】240-7351。

■厚木なかちょう大通り商店街落語会
4月27日、11時?12時30分。あつぎ市民交流プラザ。出演は三遊亭歌実(かじつ)。定員80人。800円。
申込み：不要。先着順。

問合せ：厚木なかちょう大通り商店街振興組合
【電話】225-3500。

■厚木の巡礼道を辿(たど)る
5月3日、9時30分?14時30分。飯山弘徳寺から光福寺、飯山観音まで歩き歴史を訪ねる。定員25人。500円(資料・保険代)。
申込み：4月18?28日に東丹沢七沢観光案内所へ。
【電話】248-1102
先着順。

■厚木・清川ファミリーG・G大会・全国小学生神奈川県予選会
5月6日、9時30分?12時。ツユキ及川球技場。近隣市町村の愛好者40人と小学生20人程度。600円(小学生は300円)。
申込み：ファクスに氏名、年齢(学年)、電話番号、用具の有無を書き、4月21日?5月1日に市ファミリーグラウンド・ゴルフ協会・熊谷へ。
【電話・FAX】221-3835
先着順。"
神奈川県厚木市,2024.04.15,広報あつぎ 第1421号（2024年4月15日発行）,講座(1),講座,"■伝統文化親子教室
□こども茶・華道教室
5月?25年1月の土曜(全10回)、10?12時。あつぎ市民交流プラザ。小学生?高校生15人。各回1000円(花・茶菓代)。

問合せ：澤内
【電話】090-8857-6312。

□豊かな子供に!日舞教室
5月?25年1月の土曜(全28回)。10?11時。あつぎ市民交流プラザ他。幼児?中学生15人。無料。

問合せ：山本
【電話】241-5609。

□日本舞踊こども教室
5?12月の土曜(全63回)、14?16時。相川公民館他。10回以上参加できる幼児?高校生16人。各回500円(指導代)。

問合せ：?木
【電話】090-5568-2901。

□いけばな親子教室・ひまわり
5月?25年1月の土曜(全10回)、10?12時。愛甲公民館。小学生?高校生20人。各回1000円(花代)。

問合せ：林
【電話】090-1900-2571。

○依知北伝統文化いけばな親子教室
6?12月の土曜(全6回)、14?15時。依知北公民館。小学生?中学生20人。各回900円(花代)。

問合せ：依知北公民館
【電話】225-2563。

□はいずれも
申込み：4月15日から各問い合わせ先へ。先着順(○は5月31日までに問い合わせ先へ。抽選)。

■あつぎ夢プロジェクト(市民協働提案事業)
□大人向け!楽しく歌って心も体も健康に
5月18日、13?15時。あつぎ市民交流プラザ。発声練習から始め、みんなで楽しく歌う。定員80人。

□お囃子(はやし)太鼓体験
5月18日、17?19時。中町会館。祭りばやしを学ぶ。市内在住の小・中学生10人。

いずれも無料。
申込み：4月15日からあつぎ夢プロジェクト事務局へ。
【電話】225-3500
先着順。

問合せ：文化魅力創造課
【電話】225-2508。

■マルチメディアボランティアのパソコン・スマホ無料講座
□手ほどき
5月4・18・30日。スマートフォンやパソコンの基本操作、アプリのダウンロード・使用方法、インターネット検索などの個別相談。各回6人。

□4日間で学ぶ文書作成ソフト講座
5月2・9・16・23日(全4回)。文字入力や写真、イラスト入りの文書の作り方などを学ぶ。定員8人。

いずれも9時30分?11時30分。あつぎ市民交流プラザ。無料。
申込み：4月15日から各受講日の前日12時までにDX推進課へ。
【電話】225-2457
先着順。スマートフォン・パソコンをお持ちください。

■救命講習会
□応急手当普通救命講習会(小児・乳児対象)
5月9日。

□応急手当普通救命講習会
5月17日。

いずれも9?12時。消防本部。応急手当ての重要性、自動体外式除細動器(AED)の取り扱いなど。市内在住在勤在学の中学生以上30人。無料。
申込み：4月15?23日に救急救命課へ。
【電話】223-9365
抽選。講座予約システム(インターネットで申し込み可)。

■日本赤十字社救急法基礎・救急員養成講習会
6月2・8・9日(全3回)、9時30分?17時30分。保健福祉センター。人工呼吸や胸骨圧迫の方法、自動体外式除細動器(AED)の取り扱いなどを学ぶ。全日程に参加できる15歳以上30人。3600円(教材代・保険料)。合格者に認定証を交付。
申込み：往復ハガキに講習名、〒住所、氏名(ふりがな)、性別、年齢、電話番号を書き、5月15日(必着)までに〒243-8511地域包括ケア推進課へ。
【電話】225-2200
抽選。

■健康運動指導士による未病運動講座
6月6・19日、(1)9時30分?(2)10時45分?(各回45分)。保健福祉センター。健康運動指導士による正しい歩き方、腰痛・膝痛予防のための運動、お腹周りをスッキリさせる体操などの講習と実技。市内在住の20歳以上。無料。
申込み：5月10日までに健康医療課へ。
【電話】225-2201
講座予約システム(インターネットで申し込み可)。"
神奈川県厚木市,2024.04.15,広報あつぎ 第1421号（2024年4月15日発行）,講座(2),講座,"■フレイルチェック
5月24日、10?12時。あつぎ市民交流プラザ。フレイル(加齢で筋力や心身の活力が低下した状態)の測定と対策を学ぶ。市内在住の65歳以上10人。無料。
申込み：直接、電話またはハガキに講座名、〒住所、氏名、生年月日、電話番号を書き、4月30日(必着)までに〒243-8511地域包括ケア推進課へ。
【電話】225-2388
抽選。講座予約システム(インターネットで申し込み可)。

■スポーツ協会の教室
□初・中級テニス教室
5月10・15・17・22・24・29日(全6回)、19時?20時45分。南毛利スポーツセンター。基礎技術の講習。市内在住在勤在学の方50人(小・中学生を除く)。3000円。

○タグラグビー教室
5月11・18・25日(全3回)、10?12時。東町スポーツセンター。基礎技術の講習。市内在住在勤在学の小学生以上30人。600円。

○ジュニアソフトテニス教室
5月11・18・25日、6月8日(全4回)。9時30分?11時30分。南毛利スポーツセンター。基礎技術の講習。市内在住在学の小学生60人。1500円。

○中学生ソフトテニスアカデミー
5月16・23・30日、6月6・13・20・27日、7月4日(全8回)。19時?20時50分。南毛利スポーツセンター。基礎技術の講習。市内在住在学の中学生20人。無料。

□幼児運動アカデミー
5月24・31日、6月7・14・21・28日(全6回)。16時30分?17時30分。南毛利スポーツセンター。跳び箱、鉄棒、柔軟体操を体験し運動能力を向上。市内在住の5・6歳(未就学児)10人。各回500円。

○湘南ベルマーレ小学生体力づくりアカデミー
6月1日、9時30分?10時30分。南毛利スポーツセンター。ラグビーを体験し運動能力を向上。市内在住在学の小学1?3年生20人。500円。

いずれも
申込み：ハガキ、ファクス、Eメールに教室名、〒住所、氏名(ふりがな)、年齢(○は学年)、電話番号を書き、4月25日(必着)までに、〒243-0039温水西1-27-1スポーツ協会へ。
【電話】247-7212【FAX】248-7151【メール】info@atsugi-sports.com
抽選。

■シニアのための初めてのギター体験講座
6月1・8・15日、15時?16時30分(全3回)。厚木シティプラザ。初心者向けのグループレッスン。50歳以上10人。860円(テキスト代)。
申込み：電話で厚木ギターアンサンブル・冨田へ。
【電話】221-4015
先着順。

■初・中級テニス教室
6月12・19・26日、7月3日(全4回)。9時30分?11時。南毛利スポーツセンター。定員30人。1300円。
申込み：往復ハガキ、Eメールに〒住所、氏名、電話番号を書き、5月22日(必着)までに〒243-0035愛甲2-11-1-509市ファミリーテニス協会・石川へ。
【電話】247-2941【メール】hi-ishikawa@msj.biglobe.ne.jp
抽選。

■JAあつぎの講座
□お酢の料理講習会
6月12日、10?12時。酢を使った料理を作る。900円。

□ハーブランチ講習会
6月21日、10時30分?13時。ハーブを使った料理を作る。1500円。

いずれもJAあつぎ本所。対象は市内・清川村在住の18歳以上20人。費用は材料費他。
申込み：5月1日からJAあつぎへ。
【電話】221-6881
先着順。"
神奈川県厚木市,2024.04.15,広報あつぎ 第1421号（2024年4月15日発行）,子育て,子育て,"■子育てリフレッシュ講座
5月28日、10?12時。あつぎ市民交流プラザ。ヨガ教室。市内在住の未就学児の保護者20人(託児あり。3カ月以上の子ども20人)。500円。
申込み：電話または子育て支援センター、市HPにある申込書を、郵送、ファクス、Eメールで4月15?30日(必着)に子育て支援センターへ。
【電話】225-2922【FAX】223-1684【メール】kosodate@city.atsugi.kanagawa.jp
抽選。

■スーパーエンジョイタイム・みんなであそぼう
5月25日、10時?11時30分。保健福祉センター。親子で運動遊びを楽しむ。市内在住の2歳以上の未就学児と保護者20組。1組100円。
申込み：4月15日?5月15日に子育て支援センターへ。
【電話】225-2922
抽選。講座予約システム(インターネットで申し込み可)。

■親子ふれあい遊び
○7カ月〜歩き始めの子ども
5月17日、(1)10時30分?(2)13時30分?(各回50分)。市内在住の生後7カ月?歩き始めの子どもと保護者各回15組。

□1歳児
5月29日、10時30分?11時20分。市内在住の1歳児と保護者15組。

◇2歳児
5月31日、10時30分?11時20分。市内在住の2歳児と保護者15組。

いずれもあつぎ市民交流プラザ。親子で触れ合い遊びを楽しむ。無料。
申込み：○4月11日?5月8日□4月15日?5月20日◇4月15日?5月22日に子育て支援センターへ。
【電話】225-2922
抽選。

■ベビーマッサージ
5月24日、10時30分?11時30分。あつぎ市民交流プラザ。オイルを使ったマッサージで赤ちゃんとの関わり方を学ぶ。市内在住の生後1?6カ月の赤ちゃんと保護者15組。300円(オイル代)。
申込み：4月18日?5月15日に子育て支援センターへ。
【電話】225-2922
抽選。講座予約システム(インターネットで申し込み可)。

■中央図書館の催し
□おひざにだっこのおはなし会
4月24・25日、(1)10時30分?(2)11時30分?(各回30分)。中央図書館。歌・手遊び、人形劇、紙芝居の読み聞かせなど。1?4歳程度の幼児と保護者各回12組。無料。
申込み：不要。先着順。

□ブックスタート
(1)4月27日、10時30分?11時30分。中央図書館
(2)5月15日、10時30分?11時30分。アミューあつぎ。
読み聞かせの方法や年齢に応じた絵本を5分程度で紹介し、1冊進呈。市内在住で2023年4月2日以降に生まれた赤ちゃんと保護者(赤ちゃん1人につき1回)。生後4カ月頃からが最適。無料。母子健康手帳をお持ちください。
申込み：不要。事前に電話予約し、第2・3木曜の11?12時、14?15時に中央図書館でも可
絵本などのプレゼントのみ：
(1)中央図書館…9?17時
(2)依知北・睦合北・小鮎・玉川・相川・森の里・睦合西公民館の図書室…10時?12時30分、13時30分?17時
(3)荻野・南毛利公民館の図書室…10?17時
(4)移動図書館わかあゆ号…巡回時。
母子健康手帳をお持ちください。

□おはなし会
5月4・5・11・12・18・19・25・26日、14時?14時30分。中央図書館。素話や絵本と紙芝居の読み聞かせなど。4歳?小学2年生程度各回12人。無料。
申込み：不要。先着順。

いずれも
問合せ：中央図書館
【電話】223-0033。

■あつぎ子ども食堂フェスタ・おいしいね、たのしいね!
5月11日。
第1部…11?14時。手芸などのワークショップ、体験コーナー、ゲーム、食材配布など。
第2部…15時?、16時〜(各回50分)。サスケ出場者によるパルクール運動教室。
いずれもぼうさいの丘公園。市内在住の親子200人。300円。
申込み：Eメールに連絡先、参加希望者名、大人・子どもの人数を書き、4月22日20時から子ども食堂運営団体協議会へ。
【電話】090-4363-8420【メール】atsugi.kodomofesta@gmail.com
先着順。"
神奈川県厚木市,2024.04.15,広報あつぎ 第1421号（2024年4月15日発行）,募集,その他,"■里地里山の保全ボランティア
地域の皆さんと棚田の保全や農業体験をする方を募集します。
活動日時：
(1)月1回程度
(2)5?11月の5回程度
(いずれも土曜の午前)
場所：
(1)七沢
(2)荻野
内容：保全活動、農業体験(田植え、草取り、稲刈り、収穫祭など)。
申込み：電話またはEメールに〒住所、参加者全員の氏名、電話番号、希望の場所を書き、5月10日までに環境政策課へ。
【電話】225-2749【メール】3100@city.atsugi.kanagawa.jp

■障がい福祉関係書類送付用窓付封筒の広告主
障害福祉サービス受給者や提供事業所などに発送する封筒の広告主を募集します。
発送枚数：約3万枚
募集期間：4月12日?5月10日
募集枠：2枠
金額：1枠1万円
対象：市内に事業所がある事業者。
詳細は市HPに掲載。抽選。

問合せ：障がい福祉課
【電話】225-2221。

■生涯学習推進会議の委員
生涯学習に関する事業の点検や生涯学習の推進に意見する委員を募集します。
対象：
(1)市内在住在勤在学の18歳以上
(2)平日昼間の会議(年3回程度)に出席できる
(3)他の審議会などの委員でない
(4)市の議員・職員でない
?の全てを満たす方3人
任期：6月?(2年間)
報酬：日額7800円(交通費含む)。
申込み：生涯学習課や市HPにある申込書を、直接または郵送、ファクス、Eメールで5月15日(必着)までに〒243-8511生涯学習課へ。
【電話】225-2512【FAX】225-3130【メール】0350@city.atsugi.kanagawa.jp
書類選考あり。

■廃棄物減量等推進審議会の委員
ごみの減量や資源化などに意見する委員を募集します。
対象：
(1)市内在住在勤在学の18歳以上
(2)平日昼間の会議(年3回程度)に出席できる
(3)他の審議会などの委員でない
(4)市の議員・職員でない
?の全てを満たす方2人
任期：6月?(2年間)
報酬：日額7800円(交通費含む)。
申込み：環境事業課や公民館、市HPにある申込書を、直接または郵送、Eメールで5月15日(必着)までに〒243-8511環境事業課へ。
【電話】225-2793【メール】3300@city.atsugi.kanagawa.jp
書類選考あり。

■市民ふれあいマーケットの出店者
家庭で不用になった品物を販売する出店者を募集します。
日時：6月2日、9時30分?13時30分(雨天中止)
場所：厚木中央公園
販売内容：日用雑貨や衣料品など(手作り品、食品、動植物は不可)
対象：市内在住の方100組(高校生以下は不可)
出店料：500円。
申込み：往復ハガキに〒住所、参加者全員の氏名、日中に連絡が取れる電話番号、Eメールアドレス、販売品目、自動車の有無(1店舗1台まで)・車種・ナンバー、返信面に返信先を書き、4月30日(消印有効)までに〒243-8511環境事業課へ。
【電話】225-2793【メール】3300@city.atsugi.kanagawa.jp
1組1応募。抽選。

■農産物ブランド化事業の実施者
農産物のブランド化に取り組む事業者を募集します。
対象：市内で農業を営む個人または市内に主たる事務所があり継続的に事業を営む法人。
申込み：農業政策課や公民館、市HPにある申請書を、直接または郵送、Eメールで5月15日(消印有効)までに〒243-8511農業政策課へ。
【電話】225-2801【メール】3600@city.atsugi.kanagawa.jp
選考あり。"
神奈川県厚木市,2024.04.15,広報あつぎ 第1421号（2024年4月15日発行）,お知らせ(1),その他,"■児童扶養手当・特別児童扶養手当の手当額が変更
物価の変動により、4月分からの手当額が改定されます。

□児童扶養手当
手当の全部を受けている方：
・1子目4万5500円
・2子目加算1万750円
・3子目以降加算6450円。
手当の一部を受けている方：
・1子目1万740円?4万5490円
・2子目加算5380円?1万740円
・3子目以降加算3230円?6440円。

□特別児童扶養手当
1級：5万5350円。
2級：3万6860円。
いずれも児童1人の月額。

支給月など詳細は市HPに掲載。

問合せ：子育て給付課
【電話】225-2241。

■中小企業等SDGs推進事業補助金
あつぎSDGsパートナーに登録済みまたは予定の中小企業が、SDGsの視点を踏まえた新製品や新技術を開発する経費の一部を補助します。
補助額：対象経費の3分の2以内(上限200万円、産学共同の場合は250万円)。
申込み：市HPにある申請書と必要書類を、郵送またはEメールで5月31日(必着)までに〒243-8511産業振興課へ。
【電話】225-2832【メール】3900@city.atsugi.kanagawa.jp

■電話機などの購入費を補助
オレオレ詐欺などの特殊詐欺の被害を防ぐ、迷惑電話防止機能が付いた電話機などの購入費を一部補助します。
対象：市内在住の65歳以上がいる世帯
対象機器：呼出音が鳴る前に自動で警告メッセージが流れ、通話を録音する機能を持つ固定電話機(電話回線につなぐ機器で同じ機能を持つ物も可)で、2024年3月以降に購入した物
補助内容：
(1)購入経費の3分の2
(2)6000円
?のいずれか少ない額。1世帯1台。
申込み：くらし交通安全課や公民館、市HPにある申請書を直接または郵送で25年2月28日(必着)までに〒243-8511くらし交通安全課へ。
【電話】225-2148

■にぎわい美化清掃
金曜、15時?15時30分(雨天中止)。本厚木駅周辺のゴミを拾う。参加者にはまちのコイン「アユモ」を進呈。
申込み：当日直接セーフステーション番屋へ。

問合せ：商業観光課
【電話】225-2840。

■就学援助制度
市立または国立、県立中等教育学校(前期課程)に通う児童・生徒がいる世帯(生活保護受給世帯は除く)で、援助が必要と認められる場合に、学用品費などの一部を支給します(年度ごとに要申請)。詳細は新学期に学校から配られる案内または市HPに掲載。

問合せ：学務課
【電話】225-2650。

■消防功労者表彰
市消防本部・消防団、消防団員9人、消防隊員6人、消防署の2部隊が表彰されました。(敬称略)
消防庁長官表彰・竿頭綬：市消防本部・消防団
※個人については本紙をご覧ください。

問合せ：消防総務課
【電話】223-9366。

■国民年金保険料学生納付特例申請を受け付け
学生で前年所得が一定基準額以下の方は、納付が猶予されます。
申込み：学生証または在学証明書、基礎年金番号の分かる書類を持ち、直接、国保年金課へ。
【電話】225-2121
日本年金機構から継続用ハガキが届いている方は、必要事項を書き投函。マイナポータルでの申請も可(要登録)。

問合せ：ねんきん加入者ダイヤル
【電話】0570-003-004。

■選挙管理委員が新たに就任
2024年2月22日議会の選挙で決定しました。(敬称略)
任期：3月28日?(4年間)。
※委員のお名前は本紙をご覧ください。

問合せ：選挙管理委員会
【電話】225-2490。"
