自治体名,公開年月,発行号タイトル,記事タイトル,カテゴリ,記事本文
神奈川県厚木市,2024.06.15,広報あつぎ 第1425号（2024年6月15日発行）,市民芸術祭 歌う・演奏する・芸術の祭典,文化,"ベートーベン作曲「第九」の合唱・合奏や、若者たちの合唱団あつぎユースクワイアの出演者を募集します。

◆「第九」の出演者を募集
▽合唱(市民合唱団)
対象：市内在住在勤在学の小学5年生以上120人程度(女声80人、男声40人)
費用：5000円(高校生以下2000円)
練習日：9月?2025年2月の土・日曜(全14回)、12?17時
※初心者は特別練習あり(8・9月の日曜、全4回)

▽オーケストラ
対象：18歳以上(高校生除く)で弦楽器(バイオリン、ビオラ、チェロ、コントラバス)の演奏・合奏経験がある方若干名
費用：5000円
練習日：10月?25年2月の日曜(全16回)、17?21時

◆若者たちの合唱団　あつぎユースクワイア
曲目：人気の合唱曲やディズニー、ミュージカル曲など
対象：市内在住在勤在学の小学3年生?34歳50人程度
費用：無料
練習日：9月?2025年2月の日曜(全10回)、9?12時

いずれも
申込み：あつぎ市民交流プラザや公民館、市HPなどにある申込書を直接または郵送で6月17日?7月17日(必着)に〒243-8511文化魅力創造課(あつぎ市民交流プラザ)へ。先着順(オーケストラは合奏経験などを考慮して選考)。市HPからも申請可。

■公演
発表日：2月9日　14時〜
場所：文化会館

■ボランティアスタッフ募集
市民芸術祭のボランティアスタッフを募集します。
内容：練習や公演の受付・準備・片付けなど。
申込み：電話で文化魅力創造課へ。

問合せ：文化魅力創造課
【電話】225-2508"
神奈川県厚木市,2024.06.15,広報あつぎ 第1425号（2024年6月15日発行）,広報あつぎデジタル版,くらし,"■アプリ
※本紙の二次元コードをご参照ください。

■ウェブ
「マイ広報紙　あつぎ」で検索

■市HPでもPDF版を掲載"
神奈川県厚木市,2024.06.15,広報あつぎ 第1425号（2024年6月15日発行）,広報テレビ・ラジオ番組,くらし,"イベント情報や街の話題などを紹介

■ケーブルテレビ
▽AIC「あつぎ愛テレビ」
(1)12時?
(2)19時30分?
(3)22時45分?
(各15分)

■テレビ
▽tvk「猫のひたいほどワイド」
毎月第1・3月曜、13時ごろ(3分程度)

▽tvkデータ放送
テレビリモコンのdボタンを押して、厚木市の一押し情報をチェック

■ラジオ
▽FMヨコハマ「ラブリーデイ」(84.7MHz)
毎月第1・3火曜、9時35分ごろ(3分程度)

他にもエックスやインスタグラムなど、さまざまなソーシャルメディアで情報を発信中
詳しくは「厚木市　ソーシャルメディア」で検索"
神奈川県厚木市,2024.06.15,広報あつぎ 第1425号（2024年6月15日発行）,催し,イベント,"■神奈川工科大学厚木市子ども科学館の催し
□プラネタリウム特別番組「ライブ投影」
6月23日、13時30分?14時10分。季節の星座と天文現象を解説。定員90人。200円(中学生以下50円)。
申込み：当日9時から観覧券を販売。

□ミニ工作教室「ピコピコたまご」
7月14日(1)13時40分(2)14時30分?(各回30分)。アルミホイルのたまごがピコピコ動く不思議なおもちゃを作る。定員24人(付き添いの方も要予約)。無料。
申込み：7月6日(市外の方は7日)9時から電話で受け付け。

□おもしろ実験「バブルロケット」
7月21日(1)10時30分?(2)14時?(各回45分)。入浴剤でロケットを作る。小学生以上10人(付き添いの方も要予約)。無料。
申込み：7月13日(市外の方は14日)9時から電話で受け付け。

□プラネタリウム特別投影「きらきらタイム」
水曜、11時?11時30分。満天の星の下、手遊び歌や童謡を楽しむ。定員90人。200円(中学生以下50円)。
申込み：当日9時から観覧券を販売。

□昼寝タリウム
木曜、12時15分?12時45分。満天の星の下、ゆったりと過ごす。定員90人。200円(中学生以下50円)。
申込み：当日9時から観覧券を販売。

いずれも会場、問い合わせは子ども科学館【電話】221-4152。先着順。

■厚木なかちょう大通り商店街落語会
6月22日、11時?12時30分。あつぎ市民交流プラザ。出演は林家たけ平。定員80人。800円。
申込み：不要。先着順。

問合せ：厚木なかちょう大通り商店街振興組合
【電話】225-3500。

■市民水泳選手権大会
8月11日、8時40分?15時。荻野運動公園。50メートル(自由形・平泳ぎ・背泳ぎ・バタフライ)、200メートル(個人メドレー、自由形・メドレー・混合フリーリレー)。市内在住在勤在学の小学5年生以上。1000円。
申込み：7月15日までに(1)市スポーツ協会HPの専用フォーム(2)市内各スイミング施設にあるエントリーカードを施設に提出。
リレーは当日会場で受け付け(一部条件あり)。詳細はスポーツ協会HPに掲載。

問合せ：市水泳協会・渡辺
【電話】090-5561-3584(電話は19?20時)。

■あつぎ市街の道標と史跡巡り
7月3日、9?12時。観光ボランティアガイドと本厚木駅周辺の道標や史跡を訪ねる。定員25人。500円(保険料・資料代)。
申込み：6月18?25日に東丹沢七沢観光案内所【電話】248-1102へ。先着順。

■依知南小学校校舎見学会・ホームカミングデー
7月25?28日、9時30分?15時(12?13時を除く)。依知南小学校。創立60周年に合わせた建て替えを前に、思い出の校舎を開放。
申込み：不要。

問合せ：依知南小学校
【電話】245-1166。

■斎場施設見学会
6月27日、10時30分?12時。市斎場。施設見学と葬儀の説明。定員30人。無料。
申込み：6月15?26日に市斎場【電話】281-8595へ。先着順。"
神奈川県厚木市,2024.06.15,広報あつぎ 第1425号（2024年6月15日発行）,講座(1),講座,"■福祉有償運送運転者・セダン等運転者講習会(国土交通大臣認定)
7月28日、9?18時。保健福祉センター。高齢者や障がいがある方などの移動・外出支援を学ぶ。受講後に修了証を授与。市内在住在勤在学で普通自動車運転免許を持つ方36人。無料。
申込み：電話またはファクスに〒住所、氏名、電話番号、生年月日を書き、7月10日までに地域包括ケア推進課【電話】225-2200【FAX】221-1640へ。抽選。

■健康運動指導士による運動講座
8月7・20日(1)9時30分?(2)10時45分?(各回45分)。保健福祉センター。健康運動指導士による正しい歩き方、腰痛・膝痛予防の運動、おなか周りをスッキリさせる体操などの講習と実技。市内在住の要介護認定されていない18歳以上50人。無料。
申込み：7月10日までに健康医療課【電話】225-2201へ。抽選。講座予約システム(インターネットで申し込み可)。

■応急手当普通救命講習会
7月6日、9?12時。消防本部。応急手当ての重要性や心肺蘇生法、自動体外式除細動器(AED)の取り扱いなど。市内在住在勤在学の中学生以上30人。無料。
申込み：6月17?25日に救急救命課【電話】223-9365へ。抽選。講座予約システム(インターネットで申し込み可)。

■フレイルチェック
(1)7月24日、10?12時(2)9月3日、13時30分〜15時(全2回)。あつぎ市民交流プラザ。フレイル(加齢で筋力や心身の活力が低下した状態)の測定と対策を学ぶ。受講経験のある市内在住の65歳以上20人。無料。
申込み：直接、電話またはハガキに講座名、〒住所、氏名、生年月日、電話番号を書き、6月28日(必着)までに〒243-8511地域包括ケア推進課【電話】225-2388へ。抽選。講座予約システム(インターネットで申し込み可)。

■スポーツキャンプ　イン　日体大
8月7日、8?18時。日本体育大学健志台キャンパス(横浜市)。実技指導、大学生とのスポーツ交流など。市内在住の小学4?6年生30人。800円程度(保険・昼食代。飲料代は自己負担)。
申込み：7月17日までに市HPから申し込み。抽選。

問合せ：スポーツ魅力創造課
【電話】225-2531。

■マルチメディアボランティアのパソコン・スマホ無料講座
□手ほどき
7月6・18・20・25日。基本操作・アプリ・インターネットなどの個別相談。定員各回6人。

□2日間で学ぶスマートフォン基礎講座
7月4・11日(全2回)。基本操作やアプリの使い方・ダウンロードなどを学ぶ。定員8人。

いずれも9時30分?11時30分。あつぎ市民交流プラザ。無料。
申込み：6月17日から各受講日の前日12時までにDX推進課【電話】225-2457へ。先着順。
スマートフォン・パソコンをお持ちください。"
神奈川県厚木市,2024.06.15,広報あつぎ 第1425号（2024年6月15日発行）,講座(2),講座,"■保護者セミナー・登校を渋るときのよい対応の仕方
7月2日、15時30分?16時45分。あつぎ市民交流プラザ。講話と情報交換。子どもの学校生活に心配事がある保護者など15人。
申込み：7月1日までに青少年教育相談センター【電話】225-2520へ。先着順。

■県央地区の近世仏師・上荻野檜谷(ひのきやと)の薬師如来坐像(にょらいざぞう)から
6月22日、14時?15時30分。あつぎ郷土博物館。元県立歴史博物館長による仏師の活動や仏像の見方などの講演。定員50人。無料。
申込み：不要。先着順。

問合せ：あつぎ郷土博物館
【電話】225-2515。

■スポーツ協会の教室
○初心者バウンドテニス教室
7月13・20日(全2回)、10?12時。東町スポーツセンター。市内在住在勤在学の小学生以上30人。1000円。

□初心者ジュニア水泳教室
7月20・21日(全2回)、9時30分?11時30分。相川小学校。市内在住の25メートル泳げない小学生60人。2400円。

□キッズテニス教室
7月21日、1部…10?12時。市内在住の年中?小学3年生。2部…13時30分?15時30分。東町スポーツセンター。市内在住の年中?小学6年生。各部25人。800円。

□ジュニアサッカー教室
7月23・24・25日(全3回)、9?11時。ツユキ及川球技場。市内在住の小学生80人。1500円。

○初・中級ボウリング教室
7月27・28日(全2回)、10時30分?12時30分。厚木ツマダボウル。市内在住在勤在学の小学生以上30人。2000円。

いずれも基礎技術の講習。
申込み：ハガキ、ファクス、Eメールに教室名、〒住所、氏名(ふりがな)、年齢(□は学年・キッズテニスは希望の部)、電話番号を書き、6月25日(必着)までに〒243-0039温水西1-27-1スポーツ協会【電話】247-7212【FAX】248-7151【メール】info@atsugi-sports.comへ。抽選。

■点訳講座
9月5日?2025年3月27日の木曜(全27回)、10?12時。保健福祉センター。点訳技術の習得。市内在住で修了後ボランティア活動ができる方。1540円(テキスト代)。
申込み：電話またはファクスに講座名、〒住所、氏名、年齢、電話・ファクス番号を書き、6月15日?7月31日に社会福祉協議会【電話】225-2789【FAX】222-7440へ。8月29日に説明会あり。

■国際青少年研修協会の講座
□富士山・青少年交流キャンプ
7月30日?8月3日(4泊5日)。朝霧野外活動センター(静岡県)。富士登山や野外炊飯など。小学3年?中学3年生70人。6万5000円。

◇小笠原アドベンチャースクール
8月16?22日(6泊7日)。小笠原村父島・南島。シュノーケリングやシーカヤック、ウミガメの飼育保護など。小学3?6年生25人。20万4000円。

いずれも参加費は施設利用料、食費、交通費など。
申込み：電話またはファクスで7月□9日◇16日までに国際青少年研修協会【電話】03-6825-3130【FAX】03-3981-2712へ。先着順。

■JAあつぎの講座
□認知症サポーター養成講座
7月8日、10時?11時30分。コグニサイズなど認知症予防体操を学ぶ。市内・清川村在住の18歳以上30人。無料。先着順。

○やさしい薬膳料理講習会
8月2日、10時30分?13時。薬膳カレーなどを作る。市内・清川村在住の18歳以上20人。1800円(材料費他)。先着順。

◇親子で作ろう!夏野菜のキーマカレー
8月20・21日、10時30分?13時。市内産の野菜でカレーなどを作る。市内・清川村在住の小学生の親子15組(1組3人まで)。2人…1500円、3人…2000円(材料費他)。抽選。

いずれもJAあつぎ本所。
申込み：□6月17日〜○7月5日〜◇7月5?24日にJAあつぎ【電話】221-6881へ。"
神奈川県厚木市,2024.06.15,広報あつぎ 第1425号（2024年6月15日発行）,子育て,子育て,"■中央図書館の催し
□ブックスタート
(1)6月22日、10時30分?11時30分…中央図書館。
(2)7月17日、10時30分?11時30分…アミューあつぎ。
読み聞かせの方法や年齢に応じた絵本を紹介し、1冊進呈。市内在住で2023年4月2日以降に生まれた赤ちゃんと保護者(1人1回)。無料。
申込み：不要。母子健康手帳をお持ちください(事前の電話予約で、毎月第2・3木曜の11?12時、14?15時に中央図書館でも可)
絵本などのプレゼントのみ：
(1)中央図書館…9?17時
(2)依知北・睦合北・小鮎・玉川・相川・森の里・睦合西公民館…10時?12時30分、13時30分?17時
(3)荻野・南毛利公民館…10?17時
(4)移動図書館わかあゆ号…巡回時間内。
申込み：不要。母子健康手帳をお持ちください。

□おひざにだっこのおはなし会
6月26・27日、(1)10時30分?(2)11時30分?(各回30分)。中央図書館。歌・手遊び、人形劇、紙芝居の読み聞かせなど。1?4歳程度の幼児と保護者各回12組。無料。
申込み：不要。先着順。

□おはなし会
7月6・7・13・14・20・21・27・28日、14時?14時30分。中央図書館。素話や絵本と紙芝居の読み聞かせなど。4歳?小学2年生程度各回12人。無料。
申込み：不要。先着順。

□こども読書マラソン
本を10冊読むごとに缶バッジやハンドタオルなど図書館オリジナルのあゆコロちゃんグッズをプレゼントします。
対象：12歳までの子ども(保護者の代筆可)
費用：無料。
申込み：中央図書館や依知北・睦合北・睦合西・荻野・小鮎・玉川・南毛利・相川・森の里公民館図書室、移動図書館わかあゆ号で本の通帳を受け取り、読んだ本を記録して提出。詳しくは市HPに掲載。

いずれも
問合せ：中央図書館
【電話】223-0033。

■ベビーマッサージ
7月(1)12日(2)29日、10時30分?11時30分。あつぎ市民交流プラザ。オイルを使ったマッサージで赤ちゃんとの関わり方を学ぶ。市内在住の生後1?6カ月の赤ちゃんと保護者15組。300円(オイル代)。
申込み：(1)6月13日?7月3日(2)7月4?18日に子育て支援センター【電話】225-2922へ。抽選。講座予約システム(インターネットで申し込み可)。"
神奈川県厚木市,2024.06.15,広報あつぎ 第1425号（2024年6月15日発行）,募集,その他,"■市民文化祭の出演団体
文化芸術活動をしている団体を募集します。
発表日：11月4日
場所：厚木シティプラザ
内容：ダンス、演奏など
対象：市内を拠点に活動し、市民が半数以上を占める3?10人で構成される団体30組(他の日程で市民文化祭に出演する団体は除く)
費用：3000円。
申込み：あつぎ市民交流プラザや公民館、市HPにある申込書を、ファクスで7月12日(必着)までに地域文化芸能発表代表・倉石【電話】226-1577【FAX】229-8333へ。抽選。

■荻野運動公園の指定管理者
指定期間：2025年4月?(5年間)
資格：法人・団体
選定方法：市指定管理者選定評価委員会が事業計画書などを審査。
申込み：6月17日?7月5日に公園緑地課と市HPで配布する資料を確認し、7月8?22日に直接、公園緑地課【電話】225-2410へ。

■あつぎ夢プロジェクト参加者(市民協働提案事業)
◇民謡踊りの講習会
7月6日、10?12時。あつぎ市民交流プラザ。定員40人。無料。先着順。

◇カラオケ大会予選会
8月17日、11時?15時30分。厚木シティプラザ。定員30人。1000円。抽選。入賞者3人は2025年2月9日のチャンピオン大会に出場。

いずれも
申込み：ファクスに氏名、電話番号、参加希望事業を書き6月14日?24日にあつぎ夢プロジェクト事務局【電話・FAX】294-0888へ。

問合せ：文化魅力創造課
【電話】225-2508。

■市立病院の職員
◇事務上級
対象：1995年4月2日?2003年4月1日生まれの方。

◇建築電気・機械(上級)
対象：1990年4月2日以降生まれで実務経験が3年以上の方。

□臨床検査技師
対象：1990年4月2日以降生まれで
(1)臨床検査技師の免許を持つ
(2)2025年の国家試験で取得見込み
?のいずれかに該当する方。

□診療放射線技師
対象：1995年4月2日以降生まれで
(1)診療放射線技師の免許を持つ
(2)2025年の国家試験で取得見込み
?のいずれかに該当する方。

□作業療法士
対象：1990年4月2日以降生まれで
(1)作業療法士の免許を持つ
(2)2025年の国家試験で取得見込み
?のいずれかに該当する方。

いずれも募集人数は若干名。試験日は◇9月22日□10月6日。
申込み：◇8月21日までに市立病院HPから申し込み。□市立病院や市役所本庁舎、本厚木・愛甲石田駅連絡所、市立病院HPにある申込書を直接または郵送で9月25日(必着)までに〒243-8588水引1-16-36病院総務課【電話】221-1570へ。詳細は受験案内に掲載。

■情報公開審査会・個人情報保護審査会の委員
情報公開と個人情報保護の案件を調査・審議する委員を募集します。
応募資格：
(1)市内在住在勤在学で応募日現在18歳以上
(2)平日昼間の会議(年5回程度)に出席できる
(3)他の審議会などの委員でない
(4)市の議員・職員でない
?の全てを満たす方各1人
任期：9月?2026年8月31日
報酬：日額7800円(交通費含む)。
申込み：市政情報コーナーや市HPにある申込書を、郵送またはファクス、Eメールで7月16日(必着)までに〒243-8511行政総務課【電話】225-2287【FAX】223-4058【メール】0650@city.atsugi.kanagawa.jpへ。選考あり。"
神奈川県厚木市,2024.06.15,広報あつぎ 第1425号（2024年6月15日発行）,お知らせ,その他,"■湘南ベルマーレのチケットを特別価格で販売
ホームタウンの一つとしてチケットがお得に購入できます。迫力ある試合を現地で応援しませんか。
日時：6月30日、19時?(京都サンガF.C.戦)
場所：レモンガススタジアム平塚
席種：バックA指定席
価格：1枚1500円(1人4枚まで)
対象：市内在住の方(同伴者は市外在住も可)。
申込み：6月29日までに湘南ベルマーレHPへ。

問合せ：スポーツ魅力創造課
【電話】225-2531。

■ひとり親家庭への支援
□自立支援教育訓練給付金
講座：雇用保険制度の教育訓練給付指定講座(介護職員初任者研修、医療事務、パソコン研修など)
支給額：1万2001円?20万円(受講料の60%)、看護師などの専門資格の取得を目指す講座を受講した場合は上限160万円(受講料の60%、修業年数に応じる)。

◇高等職業訓練促進給付金
資格：看護師、准看護師、介護福祉士、保育士、理学療法士、作業療法士、歯科衛生士、美容師など
支給期間：修業する全期間(上限48月)
支給額：前年の所得に応じ、月額10万円(最終1年間は14万円)または7万500円(最終1年間は11万500円)。看護師、介護福祉士、保育士は別途加算あり。

○高等学校卒業程度認定試験合格支援事業給付金
講座：試験の合格を目指す講座(通信制、通学制、併用)で市長が適当と認めたもの
支給額：開始時は受講料の40%、修了時・合格時は受講料の10%。通信制は上限15万円。通学制、併用は上限30万円。

いずれも対象は
(1)20歳未満の子どもを養育
(2)過去に給付を受けていない
?の全てを満たす市内在住のひとり親家庭の親(○は子どもも可)。事前相談が必要。

問合せ：子育て給付課
【電話】225-2241。

■国民健康保険料が決定
2024年度の納入通知書は6月中旬に発送します。
医療分：
(1)所得割…23年の総所得金額など(譲渡所得含む)から基礎控除43万円を引いた額の6.35%
(2)均等割…1人2万4929円
(3)平等割…1世帯2万3343円
後期分：
(1)所得割…23年中の総所得金額など(譲渡所得含む)から基礎控除43万円を引いた額の2.19%
(2)均等割…1人8641円
(3)平等割…1世帯8091円
介護分：
(1)所得割…23年中の総所得金額など(譲渡所得含む)から基礎控除43万円を引いた額の2.20%
(2)均等割…1人9993円
(3)平等割…1世帯6870円
限度額：医療分65万円、後期分24万円、介護分17万円。
所得金額が基準以下の世帯や未就学児・出産された方のいる世帯は軽減措置あり(23年の所得税の確定申告または市・県民税の申告が必要)。納付は、口座振替やコンビニ、ペイジー(インターネットやATMから納付できるサービス)などを利用してください。詳しくは市HPや同封のチラシに掲載。困窮により納付できない場合は分割納付、減免などもあり。

問合せ：国保年金課
【電話】225-2123。

■国民年金保険料を納めましょう
国内に住む20?59歳は、国民年金の加入が義務付けられています。自営業者や学生などの「第1号被保険者」は、自分で保険料を納める必要があります。納め忘れがあると老齢基礎年金の計算に含まれない他、障害・遺族基礎年金が受給できない場合があります。

問合せ：日本年金機構ねんきん加入者ダイヤル
【電話】0570-003-004。

■相続登記申請を忘れずに
4月1日から不動産の相続登記申請が義務化されました。該当する方は手続きをお願いします。詳しくは法務省HPに掲載。

問合せ：横浜地方法務局
【電話】045-641-7943。"
神奈川県厚木市,2024.06.15,広報あつぎ 第1425号（2024年6月15日発行）,【政策トピック】AI解析で現場の状況を素早く把握 災害情報収集システムを導入,くらし,"風水害や事故など危機・災害の情報を人工知能(AI)でリアルタイムに解析・収集し、リスクを可視化するシステムを導入しました。SNSの投稿や気象データなどから、被害状況を素早く把握し、緊急時の意思決定や市の防災・減災対策に活用していきます。

■リアルタイムな情報を取得・分析
▽SNS投稿
AIの解析で、誤情報を排除した正確な情報を把握できる

▽気象データ
気象庁などと連携し、各種警報・注意報がすぐに分かる

▽河川・道路カメラ
全国に約1万台あるカメラの情報が取得できる

■導入の効果
・発災直後の現場の様子がすぐに分かる
・素早く情報収集できる
・直接、現場確認する時間を初動対応に使える
・組織内での迅速な情報共有に活用できる

問合せ：危機管理課
【電話】225-2190"
