自治体名,公開年月,発行号タイトル,記事タイトル,カテゴリ,記事本文
神奈川県厚木市,2025.01.15,広報あつぎ 第1439号（2025年1月15日発行）,子どもと一緒に中央図書館へ行こう,子育て,"読み聞かせや歌・手遊び、紙芝居など、本に親しみながら家族の触れ合いを深めませんか。

■おひざにだっこのおはなし会
日時：1月22・23日　(1)10時30分?、(2)11時30分?(各回30分)
内容：歌・手遊び、人形劇、紙芝居など
対象：1?4歳程度の幼児と保護者各回12組

■おはなし会
日時：2月1・2・8・9・15・16・22・23日　14時～14時30分
内容：素話や絵本と紙芝居の読み聞かせなど
対象：4歳?小学2年生程度各回12人

◆ブックスタート
日時：(1)1月25日、(2)2月19日　10時30分?11時30分
場所：(1)中央図書館、(2)アミューあつぎ
内容：読み聞かせの方法や年齢に応じた絵本を5分程度で紹介し、1冊プレゼント
対象：市内在住の2023年4月2日以降に生まれた赤ちゃんと保護者(赤ちゃん1人1回・生後4カ月頃からが最適)

○絵本などのプレゼントのみ
(1)中央図書館…9?17時
(2)依知北・睦合北・小鮎・玉川・相川・森の里・睦合西公民館の図書室…10時?12時30分、13時30分?17時
(3)荻野・南毛利公民館の図書室…10?17時
(4)移動図書館わかあゆ号…巡回時
いずれも母子手帳をお持ちください

いずれも中央図書館。無料。
申込み：不要。先着順(◆は事前に電話予約し、第2・3木曜の11?12時、14?15時に中央図書館でも可)。

■いつでもどこでも読める　電子図書館
パソコンやスマートフォンなどで電子書籍を読め、図書館へ行かずにいつでもどこでも本の貸し出しや返却ができます。

問合せ：中央図書館
【電話】223-0033"
神奈川県厚木市,2025.01.15,広報あつぎ 第1439号（2025年1月15日発行）,催し,イベント,"■神奈川工科大学　厚木市子ども科学館の催し
○字幕付きプラネタリウム「彗星・宇宙の旅人」
1月18日、2月15日。13時30分?14時15分。日本語字幕とナレーション付きの番組。各回90人。200円(中学生以下50円)。
申込み：当日9時から観覧券を販売。

○プラネタリウム特別番組「銀河クルージング」
1月26日、13時30分?14時10分。双眼鏡で銀河や星団を楽しむ。定員90人。200円(中学生以下50円)。
申込み：当日9時から観覧券を販売。

○天体観望会
2月8日、18?20時。天体望遠鏡で冬の星座、オリオン大星雲、木星などを観察。定員50人(小学生以下は保護者同伴)。無料。
申込み：1月18日(市外の方は19日)9時から電話で受け付け。

○ミニ工作教室「ランチャー式紙ジャイロ」
2月9日、(1)13時40分?(2)14時30分?(各回30分)。回転しながら飛ぶおもちゃを作る。各回24人。無料。
申込み：2月1日(市外の方は2日)9時から電話で受け付け。

○アロマプラネタリウム・冬「大人のための癒しの時間」
2月15日、18?19時。アロマの香りと星空で安らぎの時間を過ごす。15歳以上90人(中学生は除く)。200円。
申込み：当日9時から観覧券を販売。

○太陽観察会
2月16日、12時30分?13時(荒天中止)。専用の望遠鏡で太陽を観察。未就学児は保護者同伴。無料。
申込み：不要。

○土曜科学実験室「カイロをつくろう」
2月22日、13時40分?15時40分。鉄の燃焼を使う化学カイロを作る。小学生以上24人(付き添いの方も要予約)。無料。
申込み：2月1日から講座予約システムへ。

○大人のためのプラネタリウム「世界最小編成プログレッシブロックバンド・Era」
3月15日、18?19時。満天の星の下、ギターとバイオリンの生演奏を楽しむ。15歳以上90人(中学生は除く)。200円。
申込み：2月16日(年間パスポートを持つ方は15日)9時から電話で受け付け。

○昼寝タリウム
木曜、12時15分?12時45分。満天の星の下、ゆったりと過ごす。定員90人。200円(中学生以下50円)。
申込み：当日9時から観覧券を販売。

いずれも会場、問い合わせ子ども科学館
【電話】221-4152
先着順(土曜科学実験室「カイロをつくろう」は抽選)。

■はじめての古文書
2月13・20・27日、3月6・13・20(全6回)。10?12時。辞典の引き方や干支(えと)・時刻などの古文書解読の基礎を学ぶ。定員16人。無料。
申込み：1月15?31日にあつぎ郷土博物館【電話】225-2515へ。抽選。

■七沢自然ふれあいセンターの催し
○天体観望会・冬の星空と星の一生
3月7日、18時30分?20時30分。七沢自然ふれあいセンター。天体講座・観望など。市内在住の小学生以上30人(中学生以下は保護者同伴)。100円(材料費、保険料)。

○ステップアップキャンプ
3月26?28日(2泊3日)、10?15時。七沢自然ふれあいセンター他。野外炊事、テント泊など。市内在住の小学4?6年生36人。9000円(材料費、リネン代、保険料)。

いずれも
申込み：天体観望会・冬の星空と星の一生…2月2日、ステップアップキャンプ…17日までに七沢自然ふれあいセンター【電話】248-3500へ。抽選。

■御朱印でめぐる開運日帰り旅
2月23日、9時?15時30分。市内寺院の御朱印巡り、イチゴ狩りなど(昼食付き)。定員26人。1万1000円(昼食代他)。
申込み：2月12日までに東丹沢七沢観光案内所【電話】248-1102へ。抽選。市観光協会HPからも申し込み可。

■厚木なかちょう大通り商店街落語会
1月25日、11時?12時30分。あつぎ市民交流プラザ。出演は春風亭だいえい。定員80人。800円。
申込み：不要。先着順。

問合せ：厚木なかちょう大通り商店街振興組合
【電話】225-3500

■あつぎ介護フォーラム'24
2月23日、13?16時。あつぎ市民交流プラザ。「健康寿命を延ばそう・今日からできる3つの秘策」をテーマに医師・歯科医師・管理栄養士・理学療法士などのレクチャー、医師会・歯科医師会・薬剤師会のブース、企業展示など。無料。
申込み：不要。

問合せ：厚木医療福祉連絡会
【電話】222-1259"
神奈川県厚木市,2025.01.15,広報あつぎ 第1439号（2025年1月15日発行）,講座(1),講座,"■救急救命講習会
○応急手当上級救命講習会
2月14日、9?17時。睦合分署。心肺蘇生法、自動体外式除細動器(AED)の取り扱い、大出血時の止血法など。市内在住在勤在学の中学生以上30人。無料。

○応急手当普及員再講習会
2月18日、9?12時。消防本部。応急手当普及員の有効期限の更新や技能の維持・向上のための講習。有効期限(3年)以内で市内在住在勤在学の応急手当普及員30人。3960円(テキスト代)。

いずれも
申込み：1月15?23日に救急救命課【電話】223-9365へ。抽選。

■マルチメディアボランティアのスマホ・パソコン無料講座
○手ほどき
2月1・6・13・15・20・27日。基本操作・アプリ・インターネットなどの個別相談。定員各回6人(13・27日は各回4人)。

○パソコン基礎講座
2月(1)13日(2)27日。(1)フォルダ・ファイルの使い方(2)写真の編集を学ぶ。定員各回4人。

いずれも9時30分?11時30分。あつぎ市民交流プラザ。無料。
申込み：1月15日から各受講日の前日12時までにDX推進課【電話】225-2457へ。先着順。スマートフォン・パソコンをお持ちください。

■フレイルチェック
2月(1)14日、10?12時(2)21日、10時?11時30分(全2回)。あつぎ市民交流プラザ。フレイル(加齢で筋力や心身の活力が低下した状態)の測定と対策を学ぶ。市内在住の65歳以上20人(既受講者を除く)。無料。
申込み：直接、電話またはハガキに講座名、〒住所、氏名、生年月日、電話番号を書き、1月30日(必着)までに〒243-8511地域包括ケア推進課【電話】225-2388へ。抽選。

■ネイチャーゲーム
3月2日、10?12時。ぼうさいの丘公園。自然に触れて春を探す。市内在住の小学生と保護者30人(小学4年生以下は保護者同伴)。100円(保険料)。
申込み：直接またはハガキ、ファクスに講座名、〒住所、氏名(ふりがな)、生年月日、電話番号を書き、2月4日(必着)までに〒243-8511青少年課【電話】225-2580・【FAX】224-9666へ。抽選。詳細は市HPに掲載。

■保護者セミナー
2月19日、(1)10時30分?11時45分。小学校新入学児童の保護者30人(2)15時30分?16時45分。子どもの学校生活に不安がある保護者など30人。あつぎ市民交流プラザ。(1)「新入生の心を支える家庭の役割」(2)「新しい学年を迎えるにあたって」がテーマの講話と情報交換。
申込み：1月15日?2月18日(託児希望者は1月31日まで)に青少年教育相談センター【電話】225-2520へ。先着順。

■健康運動指導士による運動講座
3月4・12日、(1)9時30分?(2)10時45分?(各回45分)。保健福祉センター。健康運動指導士による正しい歩き方、腰痛・膝痛予防の運動、おなか周りをスッキリさせる体操などの講習と実技。市内在住の要介護認定されていない18歳以上70人。無料。
申込み：2月7日までに健康医療課【電話】225-2201へ。抽選。

■歯と歯ぐきの健康相談
1月22日、9時30分?11時30分。保健福祉センター。歯科衛生士による歯磨きや口の悩み相談。無料。
申込み：不要。参加者には歯間ブラシとデンタルフロスをプレゼント。

問合せ：健康医療課
【電話】225-2201

■地域包括ケア市民講演会「認知症と共に生きる」
3月15日、13時?15時30分。文化会館。映画「オレンジ・ランプ」の上映やトークショー。手話・要約筆記あり。定員300人。無料。
申込み：電話またはハガキ、ファクス、Eメールに参加者の〒住所、氏名、電話番号、車いすの利用・手話の希望などを書き、2月21日(必着)までに〒243-8511地域包括ケア推進課【電話】225-2388・【FAX】221-1640・【メール】1910@city.atsugi.kanagawa.jpへ。抽選。市HPからも申し込み可。"
神奈川県厚木市,2025.01.15,広報あつぎ 第1439号（2025年1月15日発行）,講座(2),講座,"■市立病院講演会
2月21日、14?15時。「いつまでも健康でおいしく食べよう」をテーマに看護師が食事のポイントを解説。定員50人。無料。
申込み：1月15日?2月7日に病院総務課【電話】221-1570へ。先着順。

■市立病院がんサロン「つくしんぼカフェ」
2月26日、14?15時。市立病院。患者同士の交流会や「リンパ浮腫のセルフケア」がテーマのミニレクチャー。定員20人。無料。
申込み：1月15日からがん相談支援センター【電話】221-1570へ。

■農福連携コーディネーター養成講座
2月5日、3月5日(全2回)。18時30分?20時30分。市役所本庁舎。農福連携や農業と福祉をつなぐコーディネーターの知識を学ぶ。定員10人。無料。2月にフィールドワークあり。
申込み：電話またはEメールで1月15?29日に藤沢市民活動推進機構【電話】0466-53-7366・【メール】noufuku@f-npon.jpへ。先着順。

問合せ：県共生推進本部室
【電話】045-210-4961

■インナーケア・ヨガ×漢方講座
2月16日、11時15分?15時。広沢寺温泉玉翠楼。ヨガと漢方からインナーケアを学ぶ(食事・入浴付き)。定員16人。4500円(食事・入浴・講師代他)。
申込み：2月5日までに市観光協会HPや東丹沢七沢観光案内所【電話】248-1102へ。抽選。

■日本赤十字社幼児安全法支援員養成講習会
3月8・9日(全2回)、9時30分?17時30分。保健福祉センター。子どもの事故予防や傷病者の救命処置などを学ぶ。15歳以上20人。2200円(教材代・保険料)。
申込み：往復ハガキ、Eメールに講習名、〒住所、氏名(ふりがな)、性別、年齢、電話番号を書き、2月12日(必着)までに〒243-8511地域包括ケア推進課【電話】225-2200・【メール】1910@city.atsugi.kanagawa.jpへ。抽選。

■子どものやる気にスイッチオン・自分で考え、行動できる子
2月12日、10時?11時30分。海老名市文化会館。子どもがやる気になる声かけなどを学ぶ。幼児?思春期の子どもがいる保護者25人。500円。
申込み：Eメールで1月15日からスコーレ家庭教育振興協会・井上【電話】080-1269-0750・【メール】atsuginishi@schole.orgへ。先着順。

■厚木地区食品衛生協会・サイエンスカフェ
2月21日、14時30分?16時30分。厚木アーバンホテル。東京農業大学教授が「食の有効活用・無駄をなくし、食生活をより楽しむためのヒント」をテーマに講演。定員30人。1000円(飲食代)。
申込み：電話またはファクス、Eメールに〒住所、氏名、電話・ファクス番号、Eメールアドレス、参加人数を書き、2月10日までに厚木地区食品衛生協会【電話・FAX】222-7643・【メール】afha@h9.dion.ne.jpへ。抽選。

■市民健康講座・認知症のケアと治療
2月16日、14時?15時50分。レンブラントホテル厚木。認知症のケアや治療の講演。定員50人。無料。
申込み：直接またはファクス、Eメールに〒住所、氏名、電話番号、人数を書き、1月15日?2月6日に厚木医師会【電話】222-1259・【FAX】223-0556・【メール】info@atsugi-ishikai.or.jpへ。先着順。"
神奈川県厚木市,2025.01.15,広報あつぎ 第1439号（2025年1月15日発行）,講座(3),講座,"■かながわ　にじいろ・ほっとスペース
2月2日、14時30分?16時30分。本厚木駅付近の公共施設(詳細は申込者に連絡)。29歳以下の性的マイノリティー当事者と家族向け交流会。定員16人。無料。
申込み：1月31日までに、かながわにじいろ・ほっとスペースHPまたは事務局【電話】045-306-6769へ。先着順。

問合せ：県共生推進本部室
【電話】045-210-3637

■難病講演会「難病と付き合いながら自分らしく働くために」
3月4日、14時?16時30分。厚木合同庁舎2号館。難病患者就職サポーターから仕事と治療を両立し自分らしく働く方法を学ぶ。難病患者と家族、支援従事者40人程度。無料。
申込み：1月15日～2月21日に厚木保健福祉事務所【電話】224-1111へ。先着順。

■JAあつぎの講座
○キャロットケーキ作り講習会
3月11日、10時?12時30分。市内産の小麦粉とニンジンでケーキを作る。1600円。

○親子で作ろう! 中華ランチ
3月26・27日、10時30分?13時。親子で簡単で本格的な中華おかずを作る。1500円(3人の場合は2100円)。

いずれもJAあつぎ本所。対象は市内・清川村在住の(キャロットケーキ作り講習会)…18歳以上24人、(親子で作ろう! 中華ランチ)…小学生の親子15組(1組3人まで)。費用は材料費他。
申込み：キャロットケーキ作り講習会…2月4日から、親子で作ろう! 中華ランチ…2月4?28日にJAあつぎ【電話】221-6881へ。先着順(親子で作ろう! 中華ランチは抽選)。

■あつぎスポーツアカデミー(湘南ベルマーレの教室)
○小学生体力づくり(バレーボール)
2月8・15日、9時10分?10時40分。

○小学生体力づくり(リズムダンス)
3月(1)8日、15時30分?(2)9日、9時30分?(全2回、各回60分)。

○小学生トレーニング
2月6・13・20・27日、17時50分?18時50分。

いずれも南毛利スポーツセンター。運動能力の向上を目指す。市内在住在学の(小学生体力づくり)…小学1?3年生20人、(小学生トレーニング)…小学3?6年生10人。各回500円。
申込み：ハガキ、ファクス、Eメールに教室名、〒住所、氏名(ふりがな)、学年、電話番号を書き、1月25日(必着)までに、〒243-0039温水西1-27-1スポーツ協会【電話】247-7212・【FAX】248-7151・【メール】info@atsugisports.comへ。抽選。

■スポーツ協会の教室とセミナー
○レベルアップゴルフ教室
2月5・12・19・26日(全4回)、19時?20時30分。厚木ゴルフプラザ。中級者向け技術講習。市内在住在勤在学の競技経験者6人(小・中学生は除く)。5000円。

○スポーツ医科学セミナー
2月8日、10時?11時30分。南毛利スポーツセンター。桜美林大学の准教授による「スポーツ選手のメンタルヘルスケア・心の成長とは」がテーマのセミナー。市内在住在勤在学の方30人(小・中学生は除く)。無料。

○初心者柔道教室
2月9・16・23日(全3回)、9時30分?11時30分。東町スポーツセンター。基礎技術の講習。市内在住在勤在学の4歳以上30人。1000円。

○ジュニアゴルフ教室
2月22・23日(全2回)、10時30分?12時。中津川カンツリークラブ。基礎技術の講習。市内在住の小学3?6年生10人。3000円。

いずれも
申込み：ハガキ、ファクス、Eメールに催し名、〒住所、氏名(ふりがな)、年齢(初心者柔道教室、ジュニアゴルフ教室は学年)、電話番号を書き、1月25日(必着)までに〒243-0039温水西1-27-1スポーツ協会【電話】247-7212・【FAX】248-7151・【メール】info@atsugi-sports.comへ。抽選。"
神奈川県厚木市,2025.01.15,広報あつぎ 第1439号（2025年1月15日発行）,子育て,子育て,"■ベビーマッサージ
2月(1)14日(2)22日、10時30分?11時30分。あつぎ市民交流プラザ。オイルを使ったマッサージで赤ちゃんとの関わり方を学ぶ。市内在住の保護者15人(生後1?6カ月の赤ちゃん同伴。保護者は1組2人まで。(2)は託児あり。1歳以上)。各回300円(オイル代)。
申込み：(1)1月23日?2月5日(2)1月15日?2月3日に子育て支援センター【電話】225-2922へ。抽選。

■子育てリフレッシュ講座
(1)2月3日(2)3月1日、10?12時。アミューあつぎ。(1)紙バンドの小物入れ作りと絵本を楽しむ(2)姿勢改善ストレッチ教室。市内在住で未就学児の保護者(1)15人(2)20人(託児あり。3カ月以上の子ども(1)15人(2)20人)。各回500円。
申込み：電話または子育て支援センター、市HPにある申込書を(1)1月6?20日(2)1月29日?2月14日に子育て支援センター【電話】225-2922へ。抽選。"
神奈川県厚木市,2025.01.15,広報あつぎ 第1439号（2025年1月15日発行）,募集(1),くらし,"■市営住宅の入居者
対象：
・吾妻団地(吾妻町1-A-1)　3DK…3戸
・吾妻(2)団地(吾妻町2-A-2)　3DK…2戸
・富士見町団地(旭町4-17-5)　3DK…5戸
・旭町ハイツ(旭町2-11-10)　3DK…1戸
・妻田東ハイツ(1)(妻田東1-21-1)　3DK…1戸
・妻田東ハイツ(2)(妻田東1-21-2)　3DK…3戸
・宮の里ハイツ(宮の里1-1-8)　1LDK…1戸、2LDK…4戸、3DK…3戸、3DKR…1戸、3DK(車いす専用)…1戸
・上向原ハイツA(及川2-9-1)　2DK…1戸
・戸室ハイツA(戸室5-21-1)　2DK…1戸
対象(単身者可)：
・戸室ハイツA(戸室5-21-1)　1K…1戸
・戸室ハイツB(戸室5-21-2)　1K…1戸
入居日：6月1日
資格：
(1)夫婦(婚約者、内縁関係、パートナーシップ宣誓書受領証を持つ方を含む)や親子主体の家族で、市内に住民登録後1年以上続けて居住または市内に1年以上続けて勤務
(2)収入が基準に該当
(3)市税(延滞金を含む)を滞納していない
(4)住宅困窮(こんきゅう)事情がある
(5)入居者の中に暴力団員がいない
ーの全てを満たす方(単身者は(1)の家族要件を除く)
家賃：1万4800円?6万5400円(団地、部屋の大きさ、収入などにより決定)。
申込み：住宅課や市役所本庁舎、公民館、本厚木・愛甲石田駅連絡所、市HPなどにある申込書を、1月15?31日に直接、住宅課【電話】225-2346へ。

■男女共同参画推進委員会委員
男女共同参画の推進に意見する委員を募集します。
対象：
(1)市内在住在勤在学で18歳以上
(2)平日昼間の会議(年3回程度)に出席できる
(3)他の審議会などの委員でない
(4)市の職員・議員でない
ーの全てを満たす方3人
任期：6月?(2年間)
報酬：日額7800円(交通費含む)。
申込み：市民協働推進課や市HPにある申込書を、直接または郵送、Eメールで2月14日(必着)までに〒243-8511市民協働推進課【電話】225-2215・【メール】2800@city.atsugi.kanagawa.jpへ。書類選考あり。

■人権施策推進協議会委員
人権施策の推進に意見する委員を募集します。
対象：
(1)市内在住在勤在学で18歳以上
(2)平日昼間の会議(年3回程度)に出席できる
(3)他の審議会などの委員でない
(4)市の職員・議員でない
ーの全てを満たす方3人
任期：6月?(2年間)
報酬：日額7800円(交通費含む)。
申込み：市民協働推進課や市HPにある申込書を、直接または郵送、Eメールで2月14日(必着)までに〒243-8511市民協働推進課【電話】225-2215・【メール】2800@city.atsugi.kanagawa.jpへ。書類選考あり。

■県障害者スポーツ大会の選手
参加資格は、障がいの種類で異なります。
申込み：障がい福祉課や県身体障害者連合会HPにある申込書を郵送で期限(必着)までに〒221-0825横浜市神奈川区反町3-17-2県身体障害者連合会【電話】045-311-8736へ。

<img class=""alignnone size-full wp-image-9195708"" src=""https://mykoho.jp/wp-content/uploads/2025/01/aiatugi20250115_2.png"" alt="""" width=""246"" height=""429"" />

■文化財保護審議会委員
市指定文化財の指定や解除、保存、活用に関する事項を調査・審議する委員を募集します。
対象：
(1)市内在住在勤在学の18歳以上
(2)平日昼間の会議(年3回程度)に出席できる
(3)他の審議会などの委員でない
(4)市の職員・議員でない
ーの全てを満たす方2人
任期：6月?(2年間)
報酬：日額7800円(交通費含む)。
申込み：文化魅力創造課や市HPにある申込書を直接または郵送、Eメールで3月7日(必着)までに〒243-8511文化魅力創造課【電話】225-2509・【メール】8650@city.atsugi.kanagawa.jpへ。面接あり。

■市立病院春のインターンシップ参加者
期間：3月18・21日、8時40分?12時
場所：市立病院
内容：病院の紹介と見学、看護体験
定員：看護学生各回20人
費用：無料。
申込み：2月14日までに市立病院HPから申し込み。抽選。

問合せ：病院総務課
【電話】221-1570"
神奈川県厚木市,2025.01.15,広報あつぎ 第1439号（2025年1月15日発行）,募集(2),くらし,"■市史編さん委員会の委員
市史編さん事業を調査・審議する委員を募集します。
対象：
(1)市内在住在勤在学の18歳以上
(2)平日昼間の会議(年1回程度)に出席できる
(3)他の審議会などの委員でない
(4)市の職員・議員でない
ーの全てを満たす方2人
任期：6月?(3年間)
報酬：日額7800円(交通費含む)。
申込み：文化魅力創造課や市HPにある申込書を直接または郵送、Eメールで3月7日(必着)までに〒243-8511文化魅力創造課【電話】225-2060・【メール】8650@city.atsugi.kanagawa.jpへ。面接あり。

■中央図書館の雑誌スポンサー
提供いただいた雑誌の表紙・カバー、書架に広告を表示します。
期間：4月?(1年間)
対象者：市内に事業所がある企業、事業者、団体など
提供方法：スポンサーが書店などと購読契約し、発売日に中央図書館に納品。
申込み：中央図書館や市HPにある広告掲載同意書を、直接または郵送で〒243-8511中央図書館【電話】223-0033へ。随時受け付け。詳細は市HPに掲載。

■JAあつぎ農業塾「基礎コース」受講生
期間：3月上旬?8月下旬(全16回)
内容：野菜作りの基礎を学ぶ
対象：市内・清川村在住または就農計画の認定を受け市内・清川村で就農する方15人
費用：2万4200円(組合員は2万2000円)。
申込み：JAあつぎHPにある申込書を2月3?7日に直接、JAあつぎ本所【電話】221-2273へ。選考あり。

■小・中学校庁務用務員
対象：18歳以上
勤務先：市立小・中学校
職務内容：職員室・職員トイレの清掃や除草、教職員用給食の配膳など
勤務時間：月10日程度、7時30分?16時
給与：日額1万725円(条件により通勤・期末・勤勉手当あり)
任期：4月?(最長1年間)。
申込み：事前に電話し、教育総務課や市HPにある申込書を直接、教育総務課【電話】225-2600へ。"
神奈川県厚木市,2025.01.15,広報あつぎ 第1439号（2025年1月15日発行）,お知らせ,くらし,"■宝くじコミュニティ助成金で備品を整備
市場自治会にパソコン、テーブルなどの備品を整備しました。助成金は、宝くじの社会貢献広報事業。

問合せ：市民協働推進課
【電話】225-2101

■市有地の売却
物件：
(1)金田字伊藤海道832番5(116.47平方メートル)
(2)金田字伊藤海道832番7(124.02平方メートル)
申込み：1月20日?2月10日。詳細は市HPに掲載。

問合せ：財産管理課
【電話】225-2089

■福祉タクシー利用券・自動車ガソリン購入券の継続利用
申請方法：福祉タクシー利用券…申請不要。自動車ガソリン購入券…1月に郵送する申請書を障がい福祉課に返送、または市HPから申請。3月中に券を送付。

問合せ：障がい福祉課
【電話】225-2221

■ひとり親家庭などに児童就学祝金を支給
対象：4月に小・中学校に入学、または3月に中学校を卒業する児童がいるひとり親家庭などで、3月1日現在市内在住の児童と同居し養育している方
支給額：小学校入学…1万円、中学校入学…1万3000円、中学校卒業…1万5000円。
申込み：市HPにある申請書と戸籍謄本取得の同意書(ひとり親家庭などが対象の手当・助成を受けている方には1月下旬に申請書を送付。同意書不要)を、直接または郵送で3月3日(必着)までに〒243-8511子育て給付課【電話】225-2241へ。

■市民実感度調査に協力を
市政運営の資料とするため、まちづくりの取り組みへの実感度を調査します。対象者には1月下旬に調査票を郵送。
対象：市内在住の18歳以上5000人(無作為抽出)
内容：安心・安全、福祉、子育て、教育、まちづくり、環境などのアンケート。結果は広報あつぎや市HPなどに掲載。

問合せ：企画政策課
【電話】225-2455

■宅建協会合同無料相談会
2月1日、10?16時。宅建協会県央支部。専門家による法律や税金、不動産取引などの相談。無料。
申込み：1月31日までに宅建協会県央支部【電話】224-6561へ。

■公的年金の源泉徴収票を送付
2024年中に老齢年金を受け取った方に、受給額や源泉徴収された所得税額などを知らせる源泉徴収票を1月中旬までに郵送します(障害・遺族年金受給者は除く)。確定申告時に必要。

問合せ：日本年金機構
【電話】0570-05-1165

■持続可能な水道を目指す取り組みのリーフレットを作成
人口減少に伴う水需要の減少や老朽化した水道施設の大規模更新などの課題に対応します。県内5水道事業者(県、横浜・川崎・横須賀市、県内広域水道企業団)で連携し、持続可能な水道を目指します。詳細は、県企業庁HPにあるリーフレットに掲載。

問合せ：企業庁水道部計画課
【電話】045-210-7254

■児童発達支援・放課後等デイサービス合同事業所説明会
2月(1)24日、10時30分?12時30分、14?16時(2)25日、10?12時。保健福祉センター。子どもに適した療育支援を実施する市内の事業所の説明会。無料。
申込み：不要。

問合せ：市障がい者基幹相談支援センター
【電話】225-2904"
神奈川県厚木市,2025.01.15,広報あつぎ 第1439号（2025年1月15日発行）,【政策トピック】もう一つの学びの場 全小・中学校にフリールームを設置,子育て,"教室の他に児童・生徒が自分のペースで生活・学習できる「フリールーム」を、市内の全ての小・中学校に設置しました。藤塚・睦合東中学校では講師を配置し、毎日フリールームで、一人一人に合った支援をしています。

■フリールームの特徴
・児童や生徒に合わせて、個別学習やオンラインでの授業参加などをサポート
・個別の学習机の他に、複数で使えるテーブルなど、ほっとできるスペースを用意

■その他の学びの場
・なかま教室…厚木中学校の敷地内に開設。市内の中学生が対象
・なかまルーム…青少年教育相談センターに開設。市内小・中学生が対象
利用方法：学校の担任または教育相談担当に相談

問合せ：青少年教育相談センター
【電話】225-2520"
