自治体名,公開年月,発行号タイトル,記事タイトル,カテゴリ,記事本文
神奈川県厚木市,2024.10.01,広報あつぎ 第1432号（2024年10月1日発行）,楽しみ つなぐ ふるさとの芸能,文化,"西日が差す教室では、CDプレーヤーから流れる三味線と義太夫(ぎだゆう)の語りに合わせ、高校生たちが人形を操っています。文化祭に向けて稽古に励むのは、厚木王子高校人形浄瑠璃(じょうるり)部の生徒たち。創部から50年以上、楽しみながら郷土の芸能をつないでいます。部活の指導に当たるのは、厚木東高校の卒業生を中心に活動する「あつぎひがし座」の皆さんです。首(かしら)の傾きや手足の角度、演目に合わせた心情の表現など、培ってきた経験を伝えています。
市内には国指定の重要無形民俗文化財・相模人形芝居があり、長谷・林の2座が継承しています。時代とともに形を変えてきた郷土芸能。世代を超えて未来へ受け継がれています。
(4・5面に関連記事)

問合せ：文化魅力創造課
【電話】225?2509"
神奈川県厚木市,2024.10.01,広報あつぎ 第1432号（2024年10月1日発行）,【Zoom Up】コロナ・インフルエンザの予防接種開始 予防接種の助成を活用しよう,健康,"10月から新型コロナウイルス感染症とインフルエンザの予防接種が始まり、65歳以上の方は、任意で接種するよりも安く受けられます。さらに、帯状疱疹(ほうしん)の予防接種費用の助成を新設。子どものインフルエンザ予防接種の助成の対象年齢を引き上げるなど、経済的負担の軽減に努めています。

例年、秋から冬にかけて季節性インフルエンザが流行します。発症を予防し、重症化を防ぐには予防接種が有効です。特に重症化しやすい高齢者向けに、定期予防接種を実施しています。

◆コロナとインフルンエンザは定期接種
定期接種は65歳以上の方を対象に10月7日から始まります。今年から、インフルエンザに加え新型コロナウイルス感染症も定期接種となりました。接種券は不要で、期間内に実施医療機関に予約すると、助成後の金額で接種できます(下記参照)。
接種期限は2月末までですが、予防のため、希望する方は早めに接種しましょう。予防接種は義務ではありません。受ける前に内容をよく理解し、気にかかることや分からないことがある場合は医師に相談してください。

◆帯状疱疹の予防接種費用を助成
市では4月から、50歳以上の方の帯状疱疹の予防接種費用の一部助成を新たに設けました。帯状疱疹は、水ぼうそうのウイルスが原因で引き起こされる皮膚の病気で、80歳までに約3人に1人が発症するといわれています。生ワクチンに5000円、不活化ワクチンに1万円を助成し、接種する方の経済的な負担を軽減します(下記参照)。

◆子どもの予防接種助成の対象を拡大
10月には、子育て世帯への支援のため、子どものインフルエンザ予防接種費用の一部助成の対象年齢を、今年度18歳になる方まで引き上げました。予防接種の助成を活用して、健康に過ごしましょう。

問合せ：
健康医療課【電話】225-2201
こども家庭センター【電話】225-2203(子どもの予防接種)

■日頃の心がけと予防接種で健康を保つ
光ヶ丘医院
老山　大輔　医師(57)
新型コロナウイルス・インフルエンザ共に、高齢の方がかかると重症化しやすいため、特に注意が必要です。予防には、日頃から低栄養にならないようバランスの良い食事や運動、口腔ケアなどで、抵抗力を高めることが重要です。そして高齢者に関わらず全ての人には、手洗いやマスクの着用が効果的です。また部屋の換気や、冬場は湿度が低いと感染しやすくなるため、加湿も心がけてください。
予防接種を受けると、発症の予防や、かかった際の重症化を防ぐ効果が見込めます。日頃の心がけと予防接種を活用して、健康に過ごしましょう。

■新型コロナウイルス感染症・インフルエンザ　高齢者向け定期予防接種スタート
10月から新型コロナウイルス感染症も定期接種となりました。対象となる方へ9月に通知を送付しています。
期間：10月7日?2025年2月28日
対象：市内在住で
(1)65歳以上
(2)60?64歳で心臓・腎臓・呼吸器などの重い病気(障害者手帳1級相当)がある
?のいずれかに該当する方
費用：
・新型コロナウイルス感染症…2100円
・インフルエンザ…1500円
申込み：直接、実施医療機関(市HPに掲載)へ。
愛TV(市広報番組あつぎ愛テレビ)：10/1～

問合せ：健康医療課
【電話】225-2201

■新設　帯状疱疹予防接種費用を助成
4月から帯状疱疹予防接種費用の一部助成を始めました。接種の際の経済的負担を軽減し、発症の予防につなげます。
対象：市内在住の50歳以上
助成額：
・生ワクチン(1回接種)…5000円
・不活化ワクチン(2回接種)…1回1万円
接種費用：医療機関により異なる
申込み：直接、実施医療機関(市HPに掲載)へ。

▽帯状疱疹とは
子どもの頃に感染した水ぼうそうのウイルスが原因で起こる皮膚の病気です。ウイルスは体内に潜伏し、過労やストレス、加齢などで免疫力が低下すると再び活性化して発症します。
発症すると体の片側の一部にピリピリとした痛みや水膨れ、赤い発疹が出てきます。
50歳以上になると発症率が高くなり、80歳までに約3人に1人が発症するといわれています。

問合せ：健康医療課
【電話】225-2201

■子どものインフルエンザ予防接種助成対象を18歳まで拡大
10月から助成の対象を拡大しました。発症や重症化の予防のため、希望する方は早めに接種しましょう。
期間：10月7日?2025年2月28日
対象：市内在住の6カ月?今年度18歳になる方
助成金額：1回1000円
助成回数：
・6カ月?小学生…2回
・中学生?今年度18歳になる方…1回
申込み：直接、実施医療機関(市HPに掲載)へ。
※インフルエンザHAワクチンが対象。母子健康手帳と本人確認書類をお持ちください

問合せ：こども家庭センター
【電話】225-2203"
神奈川県厚木市,2024.10.01,広報あつぎ 第1432号（2024年10月1日発行）,【Zoom Up】合い言葉は「もったいない」 食べ物の無駄をなくそう,くらし,"食べ残しや賞味期限が近いなどの理由で、食べられるのに捨てられてしまう食品(以下、食品ロス)が世界規模で問題になっています。無駄のない買い物や正しい分別など、できることから始めてみませんか。

家庭から出る生ごみの約2割は未開封食品で、買いすぎた物や余った食材が捨てられています(下グラフ参照)。昨年度、市内から出た食品ロスは3687トン。1人当たり約16キロを廃棄していることになり、処理に伴う環境への負荷や経費の増大などにつながっています。市ではリーフレットでの啓発や、食品ロスの削減に向けた活動をする団体のサポートなどに取り組んでいます。

◆家庭でできる食品ロス削減
家庭での食品ロスを減らすには、食べ物を無駄なく消費していく必要があります。買い物の際に期限が近い物から選ぶ「てまえどり」も、廃棄される食材を減らす方法の一つです(下記参照)。必要な分だけ買うことや食べ切れる量を作る、期限を意識して食材を使い切るなど、一人一人の日頃の心がけが大切です。
市内には、余った食材や食べ切れない食品を回収し、必要な家庭に無償で提供するボランティア団体「フードバンクあつぎ」があります(下記参照)。米や乾麺、レトルト食品など、家庭で余ったものが市内外から届き、必要とする方に提供されます。代表の成瀬二郎さん(76・長谷)は「食材が余った場合、フードバンクが選択肢の一つになればうれしい。食品ロスを減らし、困っている人の力になりたい」と話します。

◆環境に優しい生活を
適切な量の食材を買って食べ切ることは、食品資源の節約になるだけでなく、ごみの減量になります。市では生ごみの排出量を減らすため、生ごみ処理機を購入する家庭や事業者に費用の一部を補助。導入しやすい環境づくりを進めています(下記参照)。さらに、燃えるごみの中には紙・布類やプラスチック類などリサイクルできる資源も含まれているため、適切に分別することでごみの量が減り、リサイクル率も高まります。
10月は食品ロス削減月間です。豊かな環境や資源を次世代に残すため、みんなで「もったいない」の気持ちを持ち、できることから始めてみませんか。

問合せ：環境事業課
【電話】225-2793

■家庭から出たごみの内訳(2023年度)
燃えるごみの量：3万2347トン
<img class=""alignnone size-full wp-image-8936423"" src=""https://mykoho.jp/wp-content/uploads/2024/10/ynatsugi241001_1.jpg"" alt="""" width=""388"" height=""175"" />

■家庭ですぐにできる食品ロス削減
・買い物の前に在庫を確認し、必要な分だけ買う
・すぐ食べる時は「てまえどり」を意識し、賞味・消費期限が近い食品から買う
・食べ切れる量を作り、残さないようにする
・適切に保存し、食材を長持ちさせる

■フードバンクの活動に協力を
家庭や企業で余った食品を回収し、必要な家庭に無償で提供します。
日時：水曜・毎月第3日曜　10?15時
場所：フードバンクあつぎ事務所(中町1-8-10)
対象：賞味期限が2カ月以上あり、常温保存できる未開封の物(米・調味料・缶詰・菓子・レトルト食品・飲料水など)や日用品(ペーパー、洗剤)など
申込み：不要。

問合せ：フードバンクあつぎ
【電話】080-6602-2163

■生ごみ処理機の購入費を補助
生ごみの排出量を減らすため、処理機の購入費用の一部を補助します。

▽個人
対象：市内在住で、居住地に設置し適切に維持管理できる方
処理機：家庭用生ごみ処理機(ディスポーザーは除く)
補助額：上限2万円(本体価格の5分の4)
※1世帯2台まで
申込み：購入後1カ月以内に環境事業課や環境政策課、市HPにある申請書を、直接または郵送で〒243-8511環境事業課へ。

▽事業者
対象：市内に事業所のある事業者または1年以上市内に住み事業を営む個人
処理機：1日に10キロ以上の処理能力がある生ごみ処理機
補助額：上限200万円(設置費用の3分の2)
※1事業所1台まで
申込み：設置前に直接、環境事業課へ。

問合せ：環境事業課
【電話】225-2793"
神奈川県厚木市,2024.10.01,広報あつぎ 第1432号（2024年10月1日発行）,2025年度 放課後児童クラブ入所児童を募集,子育て,"市内23小学校区にある放課後児童クラブの入所児童を募集します。

対象：
(1)各学区内の小学生
(2)保護者全員が就労(15時以降までの勤務)や疾病などで放課後に適切な保育ができない
(3)保護者などが19時までに迎えに来られる
?の全てを満たす児童
時間：
・平日(学校休業日を除く)…放課後?19時
・土曜・長期休業日など…7時30分?19時
※日曜、祝日、学校閉庁日、年末年始などは休所
費用：
・育成料…月額4000円(18時まで)、月額4800円(19時まで)
・クラブ費…月額3500円(おやつ代他)
申込み：こども育成課や市HPなどにある入所案内を確認し、申請書と必要書類を、直接または郵送で11月18～29日(必着)に〒243-8511こども育成課へ。
※入所中の児童も申請が必要

問合せ：こども育成課
【電話】225-2582"
神奈川県厚木市,2024.10.01,広報あつぎ 第1432号（2024年10月1日発行）,【特集】厚木と相模人形芝居 歴史を思い つなぐ(1),文化,"相模人形芝居は約300年前に市内に伝わり、娯楽、芸能、文化財として形を変えながら受け継がれています。歴史をつなぐ皆さんの思いを聞きました。

拍子木の音に合わせて、舞台の幕が開きます。演目は相模人形芝居の代表作の一つ「傾城(けいせい)阿波の鳴門・順礼歌(うた)の段」。主君の刀を探す夫婦の家に両親を探して旅する少女お鶴が訪れる場面から始まる物語です。お鶴が実の娘と気付きながらも送り出す母の姿は観客を引き付けます。人形を操るのは長谷座の皆さん。3人で息を合わせ、人形に命を吹き込みます。

■過去からの思いを守る
長谷座は淡路の人形遣いが技を伝えたことが始まりといわれ、それを示す記念碑や人形の面が長谷の堰(せき)神社に残されています。座長を務めるのは井上真弓さん(68・三田南)。30年前、座長を務めていた父が亡くなったことをきっかけに座に入りました。「初めは話の内容も操作の方法も全く分からなかった。勉強する中で、奥深さが面白くなり、のめり込んでいった」と振り返ります。
座員は16人。担い手不足に直面した時期もありましたが、人形芝居の基礎を学ぶ郷土芸能学校や大学での出前講座などをきっかけに座員を集め、歴史をつないできました。3年前、座長に就任した井上さんは、人形芝居を見たいと思う人が増えれば、おのずとつながっていくと考えています。座員の技術向上のため、他県で活躍する人形遣いを講師に招き指導を受けています。「見てもらえる芝居にするためには、自分たちで練習するだけでは足りない。もっと技術を高め、より良い芝居を作っていく必要がある」と稽古に打ち込みます。
「幕をかけるよ」「人形の動きを確認するから集まって」。緑ケ丘小学校の体育館では、林座の座長・葉山修次さん(43・林)が公演を準備する座員たちを見守ります。林地区には約280年前に人形芝居が伝わり、娯楽の一つとして住民たちが競って稽古していました。
葉山さんが幼い頃、近くの公園や神社の祭りで披露されていた林座の芝居。10年前に人形遣いのなり手が少ないことを聞き、地元のためになればと座員になりました。仕事で練習に参加できる機会が少なかったため、公演の日程調整や運営など、人形を操る以外の仕事を進んで受け持ってきました。
そんな中、5年前に他の座員から座長に推薦されます。「自分が座長を引き受けず、座がなくなってしまうのは嫌だという気持ちが強かった。昔の人が楽しみ、誰かを喜ばせるために考えたもの。何百年もつながってきた文化がなくなってほしくない」と話す葉山さん。座員の芝居を裏で支えています。

■忘れられない景色
時代が流れ、身近な場所で披露される機会が減った相模人形芝居。二つの座は芝居に触れてもらうため、学校や公民館での公演、講座などを続けてきました。その活動の歴史が厚木王子高校に伝わっています。同校の人形浄瑠璃部は1971年、林座の座長と厚木東高校の教頭が呼びかけて集まった約25人の生徒で始まりました。
現在は5人の部員があつぎひがし座のメンバーの指導の下で練習を重ねています。部長の植木悠太さん(2年)は人形浄瑠璃の珍しさに引かれて入部しました。「発表を見てくれた人から『生きているみたい』『とても面白かった』と声をもらえるのがうれしい」と笑顔を見せます。
創部時のメンバーで、あつぎひがし座代表の林田洋子さん(69・水引)は週に2回ほど、指導のために部を訪れています。「学生時代、初めて出た舞台から見えた観客の笑顔や涙が忘れられない。その喜びを今の子どもたちにも味わってほしくて卒業後も指導者として関わり続けている」と話す林田さん。部員たちの指導をしながら、毎年開く自主公演や依頼を受けた舞台のために、自治会館などに月2・3回ほど集まって練習を続けています。

■難しいけど楽しい
相模人形芝居に欠かせない存在が義太夫節です。太夫の語りと三味線の音で登場人物の人柄や心情を表現します。
国の重要無形文化財「義太夫節」総合認定の保持者・竹本土佐子さん(本名林ミチヨ・81・下荻野)は、6歳からこの道を歩んできました。国内外で公演を続けながら、15人に義太夫節を指導しています。その一人、入江敦子さん(57・下川入)は人形浄瑠璃部の出身です。口ずさめるまで聞いていた義太夫節に憧れ、習い始めた入江さん。39年前からは竹本さんの下で稽古を続け、共に長谷座や林座の公演などで語りを披露しています。「約40年続けてきたけれど、登場人物の心の内や魂を声で表現するのはまだ難しい。けれどこの難しさに挑むのが楽しくて、好きだから続けている」とほほ笑みます。
相模人形芝居に長年関わってきた竹本さんは「昔からこの土地に根付き、伝わってきているから郷土芸能と呼んでもらえる。簡単に作れないからこそ、途絶えさせてはいけない」と、自身の経験を多くの人に伝えています。

■手を尽くしてつないでいく
今でも他の太夫に師事し、日々稽古を続けながら技を磨く竹本さん。録音や映像では学べないことが多くあると、人から人への継承を大切にしています。「技をつなぐにはとにかく一生懸命やることが大切。そうすれば、見ている人にも伝わり、応援してくれる」と芸能と向き合い続けています。
長谷座・林座、あつぎひがし座は、11月に開催される郷土芸能まつりに出演します。「動かすタイミングを合わせて」「人形の目線が下がっているよ」。より良い舞台を作るため、歴史をつなぐため、今日も座員たちは人形に命を吹き込みます。

問合せ：文化魅力創造課
【電話】225-2509"
神奈川県厚木市,2024.10.01,広報あつぎ 第1432号（2024年10月1日発行）,【特集】厚木と相模人形芝居 歴史を思い つなぐ(2),文化,"■相模人形芝居
神奈川県に伝わる民俗芸能。義太夫節に合わせて人形を動かし物語を表現する。1980年に国の重要無形民俗文化財に指定。

▽三人遣い
一体の人形を3人で操る方法。首(かしら)と右手を動かし、胴体を支える「主遣い」、左手を操る「左遣い」、足を動かす「足遣い」がある。

▽鉄砲ざし
肘を直角よりも広い角度に開き人形が前傾姿勢をとるようにする構え。高い舞台からでも人形の顔がよく見える。

▽義太夫節
物語を語る太夫と三味線で構成。登場人物の人柄や感情を声や音で演出する。

■厚木の民俗芸能
市内には相模人形芝居を含む6種類の民俗芸能が国や県・市指定の民俗文化財に認定されています。

▽相模のささら踊り
「ビンササラ」と呼ばれる竹の楽器を鳴らし、小太鼓に合わせて踊る。江戸時代中頃に始まり、愛甲・長谷ささら踊り盆唄保存会が継承。

▽相模里神楽(さとかぐら)
「古事記」や「日本書紀」などに描かれる神話を題材にお面を着けて披露する黙劇。相模里神楽垣澤社中が継承。

▽双盤念仏(そうばんねんぶつ)
太鼓と双盤(そうばん)というかねを打ち、「南無阿弥陀仏」を唱える念仏。法雲寺酒井双盤講の「お十夜」などで唱えている。

▽古式消防
火消しを担っていたとび職に伝わる「梯子(はしご)乗り」や「まとい振り」などの技。市内ではとび職を中心に市古式消防保存会が継承。

▽伊勢十二座太神楽(だいかぐら)獅子舞
神社を祭る式楽、舞楽(ぶがく)から生まれた舞。伊勢神宮の信仰を広めるために長持(ながもち)を二輪車に乗せて厚木周辺を巡っていた。

■郷土芸能学校相模人形芝居
長谷座と林座が人形の操作方法などを教えます。
日時：11月23日、12月14・21日、2025年1月11・25日、2月8日(全6回)
・林座…10?12時
・長谷座…13?15時
場所：あつぎ市民交流プラザ
対象：各回10人程度
費用：無料
申込み：電話またはファクス、Eメールに〒住所、氏名、電話番号、希望の座を書き、11月1日までに文化魅力創造課【電話】225-2509【FAX】223-0044【メール】8650@city.atsugi.kanagawa.jpへ。先着順。

■郷土芸能まつり
地域に伝わる郷土芸能の祭典を開催します。

▽郷土芸能発表会
日時：11月2日　13時30分?15時45分
出演：長谷・愛甲ささら踊り盆唄保存会、市古式消防・馬場太鼓保存会、相模里神楽垣澤社中、法雲寺酒井双盤講

▽相模人形芝居特別公演
日時：11月16日　13時30分?15時30分
出演：相模人形芝居長谷座・林座、あつぎひがし座

いずれも会場は厚木シティプラザ。定員80人。無料。
申込み：不要。先着順。

問合せ：文化魅力創造課
【電話】225-2509"
神奈川県厚木市,2024.10.01,広報あつぎ 第1432号（2024年10月1日発行）,街のNEWS あつトピ!,くらし,"■ジャズの音色とグルメを堪能
▽厚木公園で「あつぎジャズナイト」を開催
夏の夜風を感じながら生演奏が楽しめる「あつぎジャズナイト2024」を、厚木公園で開催しました。来場者は、ご当地グルメと地ビールを片手にジャズの音色を楽しみました。
イベントは、市と商店会関係者などでつくる「まちなか活性化プロジェクト」が実施し13回目。会場には、名産のとん漬を使ったメニューや地ビールなどを味わえる18店舗が出店。会場近くの「本厚木キャビン」「マッカーサーギャレッジ」「本厚木ミロード」でもイベントが同時開催されました。
市外から初めて訪れた川上薫さん(56)は「生演奏は想像以上に迫力があり、気分が盛り上がった。おいしい食べ物もあり、楽しい時間を過ごせた」と笑顔を見せました。

■スポーツを通じた地域づくりで連携
▽プロバスケットボールチームと協定を締結
スポーツの聖地を目指す市は、バスケットボールB3リーグに所属する「湘南ユナイテッド藤沢」と協定を結びました。スポーツ振興をはじめ、青少年年の健全育成や教育支援、市民の健康増進、商業・観光振興、地域活性化、魅力発信などで協力していきます。
締結式で小河静雄代表取締役社長は「3年目のチームで、上のリーグを目指している。選手やフロントなどが一つになり、愛されるチームになりたい」とあいさつ。山口市長は「トップアスリートを身近に感じられ、スポーツ振興につながる。力添えをいただきながら聖地づくりを進めたい」と話しました。
同チームは10?12月に4試合、荻野運動公園でリーグ戦に臨みます。
※9月には荻野運動公園で試合の無料観戦や小学生の教室を実施

■高校生と大学生らが環境美化や非行防止などを啓発
▽本厚木駅周辺で心と街のクリーン作戦を実施
市内の高校・大学生が中心となり青少年の非行防止を啓発する「心と街のクリーン作戦」が、小田急線本厚木駅周辺で実施されました。学生ら約50人が、喫煙・飲酒・薬物乱用の防止を呼びかけました。
この取り組みは、学生でつくる実行委員会を主体に毎年開催。市と教育委員会、青少年相談員連絡協議会、厚木警察署などがサポートしています。36回目の今年は、「紡ぐ未来・たった一度の行いが、あなたの人生を変える」を標語に設定。6月から啓発ポスターやチラシ作りなどの準備を進めてきました。
実行委員長の山下悠光さん(厚木中央高校3年)は「人生は人との出会いで変わることがある。活動が誰かの助けとなり、心に響けばうれしい」と話しました。

■恒久平和への誓いを新たに
▽保健福祉センターで戦没者追悼式を開催
市内1500人余りの戦没者を追悼する式典を、保健福祉センターで開催しました。188人が参列し、追悼の言葉や平和への誓い、献花などを実施しました。
山口市長は「戦争で亡くなられた皆さまに対し、心からご冥福をお祈り申し上げる。平和を求める思いが重なることで、世界の恒久平和に向けた大きな動きにつながる」と式辞を述べました。市遺族会の潮田春男会長は「終戦から79年が過ぎ、戦争の事実が風化されようとしている。後世に語り継ぎ、二度と繰り返されないようにすることが、今を生きる私たちの使命」などと追悼しました。
市では、10月から市民の皆さんが平和への思いを込めて描いた絵手紙を、あつぎ市民交流プラザや公民館に巡回で展示します。"
神奈川県厚木市,2024.10.01,広報あつぎ 第1432号（2024年10月1日発行）,県央やまなみ探訪,文化,"厚木・秦野・伊勢原市、愛川町、清川村の5市町村が観光振興で連携している「県央やまなみ地域」の魅力を、毎月順番に紹介します。紙面では伝えきれない5市町村の観光にまつわるコラムを、ニュースサイトでも紹介します。

■第5回　素朴にたたずむ史跡
歴史ブームが続いています。身近に素朴にたたずむ史跡を訪れて、うずもれた歴史への思いをはせてみるのも面白いものです。「近場のいなか」を称する愛川町の街角には、戦国時代から明治期に至るまで、さまざまな史跡が残ります。田園の中に時の流れを体感できるスポットや、名産のスイーツも楽しめます。

ニュースサイトで詳しく紹介しています

問合せ：商業観光課
【電話】225-2820"
神奈川県厚木市,2024.10.01,広報あつぎ 第1432号（2024年10月1日発行）,厚木愛通信,くらし,"厚木市長　山口貴裕

8月29日の夜中から30日未明にかけて、数回スマートフォンのけたたましい警戒音が鳴り響きました。台風10号の接近による大雨に伴い、市は災害対策本部を設置。七沢の土砂災害警戒区域や荻野・玉川沿いで災害発生の危険性が高まったことから、警戒レベル4・避難指示を発令しました。人命に関わる被害はなかったものの、道路冠水やがけ崩れ、浸水、倒木などの爪痕を残しました。
台風10号は刻々と進路が変わり、本体から離れた場所も大雨に見舞われるなど、備えが非常に難しいものでした。市では、数日間にわたり配備体制をとり、職員が交代で避難所運営や被害対応、パトロールなどに当たりました。1時間当たり20ミリメートル以上の雨が断続的に降り続けた時間帯もあり、公民館や学校などに開設した35の避難所には、最大で42世帯58人の方が避難されました。長期間にわたり大雨や土砂災害の警報が出され不安な時間を過ごす中、私を含め多くの市民の皆さんが災害に備える心持ちを新たにされたのではないでしょうか。
今回の台風や8月9日に発生した震度5弱の地震など、災害はいつ身近な場所で起こるか分かりません。できる備えにみんなで取り組み、災害に強いまちにしていきましょう。"
神奈川県厚木市,2024.10.01,広報あつぎ 第1432号（2024年10月1日発行）,あつぎのしゃしん。,くらし,"「実りの秋」
#9月10日撮影
#お米
#稲刈りシーズン
#niceatsugi
市公式インスタグラムで公開中"
