自治体名,公開年月,発行号タイトル,記事タイトル,カテゴリ,記事本文
岡山県倉敷市,2024.08.01,広報くらしき 2024年8月号,表紙の説明 まびふれあい公園が開園しました,その他,"7月3日、平成30年7月豪雨災害からの復興のシンボルとして整備してきた「まびふれあい公園」が開園しました。平常時と災害時の両面で活用でき、地域の魅力発信にもつながる公園です。
開園式では、竹の集成材を薄くスライスしてつなげたテープでのテープカットとくす玉開披が行われ、地域の皆さんや箭田幼稚園の園児たちも参加しました。"
岡山県倉敷市,2024.08.01,広報くらしき 2024年8月号,〔特集1〕まびふれあい公園が開園,くらし,"市が平成30年7月豪雨災害の復興のシンボルとなるべく整備してきた「まびふれあい公園」が、7月3日に開園しました。まびふれあい公園は「防災教育の場」「住民が川を感じ楽しめる場」「真備の魅力を発信できる場」「災害時の救援活動や一時的な避難の場」の4点の基本方針をもとに整備した、平常時と災害時の両面で活用できる公園です。設計には、世界的建築家の隈研吾氏も参画し、真備の山並みに合った竹を用いたデザインとなっています。
開園に先立ち5月26日には、天皇、皇后両陛下が視察されました。
今後、日常の憩いの場としての利用をはじめ、真備地区のにぎわい創出や魅力発信の場として、交流イベントや地域の行事、防災学習などにぜひ活用していただきたいと思います。
多くの皆さんに来園いただき、子どもから大人まで人々がふれあい、小田川や自然とふれあい、心と心がふれあう公園となることを願っています。

・公園の中央にある「竹のゲート」は真備の山並みに調和する大屋根、多目的室「まなびのへや」と防災備蓄倉庫を備えています。
・植栽イベントでは、倉敷まきび支援学校の生徒と、真備町緑化協会・市緑化推進員の皆さんが花壇に花を植えました。
・隈研吾氏と伊東市長の対談が、竹のゲートで行われました。対談は、YouTube「倉敷市動画チャンネル」で見ることができます。(本紙の二次元コード参照)

■災害時には一時避難所として活用できます
災害時には、一時的な避難の場として約400台の車による避難やヘリポートとして利用できるほか、竹のゲート内には、防災備蓄倉庫も整備しています。倉庫には、約300人が1日に必要な量の備蓄品(飲料水・毛布など)を保管しています。
また、マンホールトイレ5基、かまどベンチ2基、ソーラーWi-Fiを1基備えています。

◇複合遊具・芝すべり台
芝すべり台やアスレチック遊具などインクルーシブに配慮した複合遊具もあります。

◇まなびのへや
防災学習などの研修や被災の教訓を伝える資料の展示の他、災害時には一時的に避難場所として利用できます。詳しくは、市ホームページで。

問合せ：本庁公園緑地課
【電話】426-3495"
岡山県倉敷市,2024.08.01,広報くらしき 2024年8月号,平成30年7月豪雨災害から6年 多くの市民の皆さまが献花・記帳に訪れました,くらし,"災害から6年となる7月6日・7日の2日間、災害によりお亡くなりになられました方々を追悼するため、真備支所に設けた献花台・記帳所には市議会議長、真備地区まちづくり推進協議会の各地区会長をはじめ、多くの方々が訪れ、追悼の献花・記帳を行いました。
伊東市長は献花にあたって、「本年は、小田川合流点付替え事業の竣工(しゅんこう)を迎え、真備の安全度は大きく向上しました。そして5月には天皇、皇后両陛下の行幸啓を賜り、まびふれあい公園におきまして被災状況・復興状況のご聴取をいただき、被災地全体に向けて黙礼を賜りました。市は災害の記憶・教訓を忘れず後世に伝え、今後の災害への備えを行い、安全なまちづくりに取り組んでまいりますので、どうぞお見守りください。安らかに」と追悼の言葉を述べました。

問合せ：本庁総務課
【電話】426-3121"
岡山県倉敷市,2024.08.01,広報くらしき 2024年8月号,小田川合流点付替え事業 竣工記念碑を建立,くらし,"市と国は、小田川合流点付替え事業が竣工したことを記念して、7月7日、高梁川真備とんぼ公園前の小田川合流点締切堤防上に、竣工記念碑を建立しました。

・碑の表側(本紙写真参照)。碑文は、加藤勝信衆議院議員に揮毫(きごう)いただきました。新しい小田川の流れと、高梁川の流れの方向も刻んでいます。
・裏側には、竣工に至る経緯を記しています。

問合せ：本庁事業推推課
【電話】426-3489"
岡山県倉敷市,2024.08.01,広報くらしき 2024年8月号,地震が起きたら、体勢を低くして頭を守る!「倉敷市一斉地震対応訓練」に参加しましょう,くらし,"?地震への備えも進めましょう?
地震発生時は、まずは自身の身を守ることが最も重要です。この訓練は、従来の防災訓練とは異なり、「その時にいる場所」で地震が発生したと想定して、とっさに身を守るという地震の際の安全確保行動「まず低く・頭を守り・動かない」を身に付ける訓練です。1分程度でできるので、ぜひ参加してください。団体は、本紙の二次元コードから電子申請で申し込みを。市ホームページに団体名を掲載します。個人は申し込み不要

日時：9月26日(木)9時
訓練内容：FMラジオ・市公式アプリなどでの訓練開始の合図があったら、各自で「まず低く・頭を守り・動かない」を行ってください。行動後は、+1(プラスワン)訓練として、大規模災害に備えるための、避難・誘導訓練、備蓄品・連絡体制・避難経路の確認など、実情に合わせた個別訓練をお願いします。
申込締切：9月25日(水)

問合せ：本庁危機管理課
【電話】426-3645"
岡山県倉敷市,2024.08.01,広報くらしき 2024年8月号,〔特集2〕大江佑弥選手(玉島地区出身)が、アーチェリー競技男子コンパウンド部門に出場します,スポーツ,"?パリ2024パラリンピック競技大会?
今夏は「パリ2024オリンピック競技大会」が、フランス・パリで7月26日(金)開会?8月11日(祝)閉会の日程で、「パリ2024パラリンピック競技大会」が、8月28日(水)開会?9月8日(日)閉会の日程で開催されます(日付は現地時間)。
パリ2024パラリンピック競技大会には、玉島地区出身の大江佑弥選手(倉敷市職員)が、アーチェリー競技　男子コンパウンド部門の日本代表として初出場します。
大江選手は、高校時代には倉敷商業高校硬式野球部でレギュラーとして活躍。卒業してからも野球を続けていましたが、27歳の時に脳出血の影響で右半身にまひが残りました。
半年間の入院後、パラスポーツに興味を持ってアーチェリーに出会い、口で弦を引く競技スタイルで努力を重ねて、国内外の大会で優勝をはじめとする数々の成績を収め、パリパラリンピックへの国の出場枠も獲得しました。
夢の大舞台でトップを目指す大江選手の活躍を願って、みんなで応援しましょう!

■大江選手の主な活躍
◇2022(R4)年
・9月…日本身体障害者アーチェリー連盟　日本記録更新
・10月…全日本ターゲットアーチェリー選手権大会　準優勝

◇2023(R5)年
・5月…ヨーロピアンカップ　ワールドランキングイベント　個人3位
・7月…世界選手権大会　個人17位・ダブルス6位入賞
・11月…パリパラリンピックアジア大陸選考会　優勝

■大江選手の競技日程(日付は現地時間)
1回戦…8月30日(金)15時半?
2回戦からメダルマッチまで…9月1日(日)15時半?

■「パラアーチェリー大江佑弥選手を応援する会(玉島商工会議所内)」ホームページ
本紙の二次元コード参照してください。

5月に、大江選手は「パラアーチェリー大江佑弥選手を応援する会」(守永一彦会長)や関係者と伊東市長を訪問し、パラリンピックへの出場内定について報告しました。大江選手は「大勢の皆さんの応援があってここまで来れた。メダル獲得に向けしっかり練習し、パリでも一射一射楽しんで取り組みたい」と抱負を語りました。伊東市長は「市職員でもある大江選手の代表内定はとてもうれしい。市民の皆さんも元気付けられると思う。体調に気を付けて思い切り頑張ってきてもらいたい」と激励しました。

問合せ：本庁障がい福祉課
【電話】426-3305"
岡山県倉敷市,2024.08.01,広報くらしき 2024年8月号,令和6年10月分(12月支給分)から児童手当が拡充されます,子育て,"高校生年代までの国内に住所を有する児童(18歳到達後最初の3月31日まで)を対象に支給します。

■拡充内容
(1)所得制限の撤廃
(2)支給期間を中学校修了までから高校生年代までに延長
(3)第3子以降の支給額を3万円に増額
(4)「(3)」の多子加算のカウント対象が大学生年代までに延長
(5)支払月を年6回(偶数月)に変更(初回支給は12月)

■申請方法
◇現在児童手当を受給していない人
対象拡充に伴う手続きが必要。対象世帯には、8月初旬に「児童手当認定請求書」が自宅に届くので申請を。
※子の住民票が市外にある場合や、令和6年7月以降に倉敷市に転入してきた場合などには、認定請求書が届きません。対象になる子を養育している場合は問い合わせを。

◇現在児童手当を受給中の人
対象拡充に伴う手続きは原則不要。ただし、大学生年代の子(22歳到達後最初の3月31日まで)を養育している場合は、第3子以降加算のカウントに含めるための申請が必要。対象の世帯には、8月下旬に「監護相当・生計費の負担についての確認書」が自宅に届くので申請を。
※受給者と住民票上同一の世帯に属さない大学生年代の子については確認書が届きません。対象になる子を養育している場合は問い合わせを。

問合せ：
本庁子育て支援課【電話】426-3314
児島【電話】473-1119・玉島【電話】522-8118・水島【電話】446-1114の各保健福祉センター福祉課
真備保健福祉課【電話】698-5113"
岡山県倉敷市,2024.08.01,広報くらしき 2024年8月号,瀬戸内海国立公園指定90周年記念事業の参加者募集,イベント,"■周(まわ)って魅力を再発見!瀬戸内海国立公園こじたま特別地域まるごとスタンプラリー
期間：10月14日(祝)まで
内容：児島地区・玉野市にある6つの特別地域(鷲羽山・王子が岳・由加山・龍王山・通仙園・渋川海岸)を回り、3つ以上スタンプを集めた人に抽選で地域の特産品をプレゼント
参加方法：本紙の二次元コードからスマートフォンを使用して参加

問合せ：同実行委員会事務局(児島商工会議所内)
【電話】472-4450

■瀬戸内海国立公園の魅力を発信!「#瀬戸内海90こじたま」Instagramハッシュタグキャンペーン
児島地区・玉野市にある6つの特別地域(鷲羽山・王子が岳・由加山・龍王山・通仙園・渋川海岸)の魅力的な写真・動画を撮りハッシュタグ「#瀬戸内海90こじたま」を付けてインスタグラムに投稿すると、抽選で特別地域にちなんだ特産品をプレゼント
期間：10月14日(祝)まで
応募方法：
(1)アカウント「@seto90kojitama」をフォロー
(2)撮影した写真・動画に、ハッシュタグ「#瀬戸内海90こじたま」と「#該当の特別地域の名称」(例「#王子が岳」)を付けて投稿

問合せ：同実行委員会事務局(児島商工会議所内)
【電話】472-4450

■瀬戸内海3方向見学ツアー
日時：9月28日(土)9時?16時ごろ
場所：児島観光港集合
内容：瀬戸内海を海上(観光船)・山頂(鷲羽山)・塔頂(瀬戸大橋)の3方向から見学
対象：中学生以上
定員：48人
参加費：6,000円
申込方法：8月1日(木)?、電話で。

問合せ：倉敷観光コンベンションビューロー
【電話】421-7005

■瀬戸内海国立公園ウォーキング〔鷲羽山コース〕
日時：10月5日(土)9時?12時
場所：下津井城跡駐車場集合
内容：港町下津井から鷲羽山山頂までを散策し、瀬戸内海の多島美と雄大な瀬戸大橋の姿を楽しみます。
定員：150人
参加費：無料
申込方法：児島観光ポータルサイト「こじまさんぽ」から電子申請か電話で。

問合せ：同実行委員会事務局(児島商工会議所内)
【電話】472-4450"
岡山県倉敷市,2024.08.01,広報くらしき 2024年8月号,市職員を募集,しごと,"詳しくは、受験案内で確認してください。

申込締切：8月29日(木)
申込方法：原則、市ホームページからの電子申請で。ただし、障がい者を対象とした事務職は、郵送や持参も可。郵送の場合は8月26日(月)の消印有効
給与：初任給は令和6年4月1日現在、事務職の場合、大卒202,400円、短大卒181,800円、高校卒170,900円など。職歴などを有する人は条件により別途加算。その他諸手当を条件により支給
受験案内・受験申込書・受験票：本庁総合案内・人事課、児島・玉島・水島の各支所総務課、庄・茶屋町の各支所市民係、船穂支所市民税務係、真備支所市民課、倉敷駅前連絡所、市保健所保健課、市民病院、市ホームページで配布。消防職は、各消防署・分署(出張所を除く)でも配布

■今後の採用試験
任期付職員採用選考試験・職務経験者を対象とした職員採用選考試験は、「広報くらしき10月号」以降でお知らせします。

<img class=""alignnone size-full wp-image-8769886"" src=""https://mykoho.jp/wp-content/uploads/2024/07/sn_kurashiki240801_1_2.png"" alt="""" width=""983"" height=""776"" />

問合せ：市職員採用試験委員会(本庁人事課内、〒710-8565西中新田640)
【電話】426-3141"
岡山県倉敷市,2024.08.01,広報くらしき 2024年8月号,8月から運用開始「吉岡川雨水ポンプ場」が完成,くらし,"吉岡・堀南・笹沖地区などの浸水被害の軽減を目的として整備を進めていた「吉岡川雨水ポンプ場」が7月に完成しました。このポンプ場は、吉岡川から用水路への逆流を防ぐためのゲートと、雨水を強制的に排水するためのポンプが一体となった構造です。吉岡川の水位が高い場合でも、最大毎秒2.3立方メートルの水を、用水路から川へ安定的に排水することができます。

問合せ：本庁浸水対策室
【電話】426-3593"
